object,telescope,filter,file,z,fwhm_arcsec,sigma_min_arcsec,sigma_min_kpc,smallest_safe_grid_radius_kpc
SN2011iv,dup,B,SN2011iv_B_comb_dup.fits,0.006,1.93551944550566,0.8219394299746677,0.10164901223711034,1.0
SN2011iv,dup,V,SN2011iv_V_comb_dup.fits,0.006,1.921584740026492,0.8160219054026426,0.10091719368004987,1.0
KISS13v,dup,V,KISS13v_V_comb_dup.fits,0.08,1.8851984101830213,0.8005700538183775,1.2087864043093985,1.5
SN09dc,dup,B,SN09dc_B_comb_dup.fits,0.021,1.819100412696549,0.7725008187080558,0.3283401383812667,1.0
SN09dc,dup,V,SN09dc_V_comb_dup.fits,0.021,1.811561774638449,0.7692994538844431,0.3269794452353982,1.0
SN2012hl,dup,V,SN2012hl_V_comb_dup.fits,0.0332,1.782040841167414,0.756763067703542,0.5011089899677282,1.0
SN08ha,swo,V,SN08ha_V_comb_swo.fits,0.005,1.774026295416801,0.7533596034908413,0.07773460893220464,1.0
SN2012hl,dup,B,SN2012hl_B_comb_dup.fits,0.0332,1.744541331525823,0.740838492184185,0.49056414668093096,1.0
ASAS14lq,dup,B,ASAS14lq_B_comb_dup.fits,0.026191,1.7116922316064245,0.7268887638434927,0.38292026291069325,1.0
LSQ11bk,dup,V,LSQ11bk_V_comb_dup.fits,0.037,1.7044040493194228,0.7237937577930809,0.5317123412399845,1.0
SN07ai,swo,V,SN07ai_V_comb_swo.fits,0.032,1.7006214435584943,0.722187433025755,0.4615922317837675,1.0
SN06ev,swo,V,SN06ev_V_comb_swo.fits,0.029,1.682950431080504,0.7146832449603957,0.4154639881744246,1.0
SN06bt,swo,V,SN06bt_V_comb_swo.fits,0.032,1.6748428528282655,0.7112402734818121,0.4545952617805503,1.0
SN04ef,dup,V,SN04ef_V_comb_dup.fits,0.031,1.6718550768219238,0.7099714818335304,0.44013094408973086,1.0
ASAS14me,dup,B,ASAS14me_B_comb_dup.fits,0.018,1.6695992385467342,0.709013515521009,0.2592433143579997,1.0
SN08cc,dup,V,SN08cc_V_comb_dup.fits,0.0104,1.6418110305335307,0.6972129500927331,0.1486562829837175,1.0
SN10ae,dup,B,SN10ae_B_comb_dup.fits,0.003662,1.6415650806735969,0.6971085048038232,0.05276798397347361,1.0
ASAS14lq,dup,V,ASAS14lq_V_comb_dup.fits,0.026191,1.6397127259086135,0.6963218821619394,0.3668178288766729,1.0
SN04ef,dup,B,SN04ef_B_comb_dup.fits,0.031,1.631205181067636,0.6927090605117544,0.42942949200604075,1.0
SN06bh,swo,V,SN06bh_V_comb_swo.fits,0.011,1.630187942782104,0.6922770791857594,0.1560056279274337,1.0
ASAS14hr,dup,V,ASAS14hr_V_comb_dup.fits,0.03362,1.626701398489348,0.6907964801480057,0.4629814413701487,1.0
ASAS15dd,dup,B,ASAS15dd_B_comb_dup.fits,0.02437,1.613199975714066,0.6850629537990296,0.3365321128611163,1.0
ASAS14me,dup,V,ASAS14me_V_comb_dup.fits,0.018,1.5995892289458484,0.6792830018248062,0.24837266557705817,1.0
KISS13v,dup,B,KISS13v_B_comb_dup.fits,0.08,1.59353447722526,0.6767117855089926,1.0217719262139486,1.5
SN08O,dup,V,SN08O_V_comb_dup.fits,0.0389,1.5803542390412706,0.6711146536976672,0.517155765196479,1.0
SN06py,swo,V,SN06py_V_comb_swo.fits,0.058,1.5639596605443378,0.664152517235678,0.7459944333610763,1.0
ASAS14hp,dup,B,ASAS14hp_B_comb_dup.fits,0.03892,1.5541651416290994,0.6599931680166554,0.5088349757842769,1.0
SN08cc,dup,B,SN08cc_B_comb_dup.fits,0.0104,1.5535511178558536,0.6597324161283991,0.14066486965348346,1.0
ASAS14jz,dup,B,ASAS14jz_B_comb_dup.fits,0.012,1.546377914972275,0.6566862373349429,0.16124229950258845,1.0
SN09al,dup,V,SN09al_V_comb_dup.fits,0.022,1.5462455287568542,0.6566300180855357,0.29202828647734946,1.0
SN07ax,swo,V,SN07ax_V_comb_swo.fits,0.007,1.5429075149951288,0.6552124941567883,0.09441971517327864,1.0
SN05mc,swo,V,SN05mc_V_comb_swo.fits,0.025,1.5425335176627928,0.655053672112987,0.32985862169221153,1.0
SN10ae,dup,V,SN10ae_V_comb_dup.fits,0.003662,1.5376209442267317,0.6529674942556057,0.04942670765690256,1.0
SN08fl,dup,B,SN08fl_B_comb_dup.fits,0.02,1.5235958826759597,0.6470115989928797,0.26222396362794653,1.0
KISS15m,dup,V,KISS15m_V_comb_dup.fits,0.0243,1.5128803119157683,0.6424611150683001,0.3147242785941374,1.0
SN06gj,swo,V,SN06gj_V_comb_swo.fits,0.028,1.4867241014736243,0.631353595197583,0.3547923448170873,1.0
LSQ11bk,dup,B,LSQ11bk_B_comb_dup.fits,0.037,1.486188137405098,0.6311259922137978,0.4636368790477217,1.0
SN07st,dup,B,SN07st_B_comb_dup.fits,0.021,1.4775143236107362,0.6274425626402026,0.26668525502422535,1.0
SN2011jt,dup,V,SN2011jt_V_comb_dup.fits,0.028,1.4755160657464494,0.6265939806568348,0.3521176553622674,1.0
SN08fl,dup,V,SN08fl_V_comb_dup.fits,0.02,1.4657260812198176,0.6224365570153594,0.25226407276401247,1.0
SN08J,dup,B,SN08J_B_comb_dup.fits,0.016,1.464381141813277,0.6218654138363388,0.20260426790517258,1.0
SN09Y,dup,V,SN09Y_V_comb_dup.fits,0.009,1.4637117156920725,0.6215811347371281,0.11488535213764337,1.0
SN07le,dup,V,SN07le_V_comb_dup.fits,0.007,1.4494916614192643,0.6155424336895406,0.08870304181367698,1.0
SN09Y,dup,B,SN09Y_B_comb_dup.fits,0.009,1.4441452479138568,0.6132720209177922,0.11334959853487378,1.0
SN05na,swo,V,SN05na_V_comb_swo.fits,0.026,1.4434141975865742,0.6129615724277578,0.32062303939458453,1.0
SN05am,dup,B,SN05am_B_comb_dup.fits,0.008,1.4425093944219654,0.6125773379014219,0.10076370590617399,1.0
SN07as,dup,B,SN07as_B_comb_dup.fits,0.018,1.4299331212139046,0.6072366864004298,0.2220296901766918,1.0
SN04gs,dup,V,SN04gs_V_comb_dup.fits,0.027,1.4258103791188628,0.6054859190312878,0.3284985655667428,1.0
CSP14acy,dup,V,CSP14acy_V_comb_dup.fits,0.0664,1.418317666562396,0.6023040569725383,0.7668961854832963,1.0
SN05W,dup,V,SN05W_V_comb_dup.fits,0.009,1.4155961470305176,0.6011483340383713,0.11110880653120744,1.0
ASAS14lt,dup,V,ASAS14lt_V_comb_dup.fits,0.032046,1.409365536341359,0.5985024372946663,0.3830666936145702,1.0
SN09al,dup,B,SN09al_B_comb_dup.fits,0.022,1.4065303252831798,0.5972984340146017,0.2656412795586914,1.0
SN09F,dup,B,SN09F_B_comb_dup.fits,0.013,1.4050196251480918,0.5966568987353875,0.15851866154282615,1.0
ASAS14jg,dup,B,ASAS14jg_B_comb_dup.fits,0.014827,1.4046032744932369,0.5964800908915213,0.18034284098768247,1.0
