data_shape,dec_key,dec_val,error,file,filter_from_name,filter_key,filter_val,has_wcs,n_hdus,object_key,object_val,pixscale_arcsec,ra_key,ra_val,readable,redshift_key,redshift_val,telescope_from_name,wcs_error
"(2477, 2469)",CRVAL2,18.061722,,D:\Thesis\pd\CSPAll\ASAS14ad_B_comb_dup.fits,B,,,True,1,OBJECT,ASAS14ad,0.23000000000000403,CRVAL1,190.047458,True,,,du Pont,
"(2471, 2468)",CRVAL2,18.061722,,D:\Thesis\pd\CSPAll\ASAS14ad_V_comb_dup.fits,V,,,True,1,OBJECT,ASAS14ad,0.23000000000000403,CRVAL1,190.047458,True,,,du Pont,
"(2432, 2441)",CRVAL2,-70.646972,,D:\Thesis\pd\CSPAll\ASAS14hp_B_comb_dup.fits,B,,,True,1,OBJECT,ASAS14hp,0.23000000000000403,CRVAL1,322.625708,True,,,du Pont,
"(2434, 2437)",CRVAL2,-70.646972,,D:\Thesis\pd\CSPAll\ASAS14hp_V_comb_dup.fits,V,,,True,1,OBJECT,ASAS14hp,0.23000000000000403,CRVAL1,322.625708,True,,,du Pont,
"(2433, 2430)",CRVAL2,-14.517528,,D:\Thesis\pd\CSPAll\ASAS14hr_B_comb_dup.fits,B,,,True,1,OBJECT,ASAS14hr,0.23000000000000403,CRVAL1,27.671958,True,,,du Pont,
"(2428, 2429)",CRVAL2,-14.517528,,D:\Thesis\pd\CSPAll\ASAS14hr_V_comb_dup.fits,V,,,True,1,OBJECT,ASAS14hr,0.23000000000000403,CRVAL1,27.671958,True,,,du Pont,
"(2729, 2489)",CRVAL2,-69.641528,,D:\Thesis\pd\CSPAll\ASAS14hu_B_comb_dup.fits,B,,,True,1,OBJECT,ASAS14hu,0.23000000000000403,CRVAL1,100.840167,True,,,du Pont,
"(2735, 2483)",CRVAL2,-69.641528,,D:\Thesis\pd\CSPAll\ASAS14hu_V_comb_dup.fits,V,,,True,1,OBJECT,ASAS14hu,0.23000000000000403,CRVAL1,100.840167,True,,,du Pont,
"(2247, 2271)",CRVAL2,-69.641528,,D:\Thesis\pd\CSPAll\ASAS14hu_V_comb_swo.fits,V,,,True,1,OBJECT,ASAS14hu,0.42999999999984,CRVAL1,100.840167,True,,,Swope,
"(2450, 2449)",CRVAL2,-62.769444,,D:\Thesis\pd\CSPAll\ASAS14jc_B_comb_dup.fits,B,,,True,1,OBJECT,ASAS14jc,0.23000000000000403,CRVAL1,113.898083,True,,,du Pont,
"(2450, 2449)",CRVAL2,-62.769444,,D:\Thesis\pd\CSPAll\ASAS14jc_V_comb_dup.fits,V,,,True,1,OBJECT,ASAS14jc,0.23000000000000403,CRVAL1,113.898083,True,,,du Pont,
"(2216, 2211)",CRVAL2,-62.769444,,D:\Thesis\pd\CSPAll\ASAS14jc_V_comb_swo.fits,V,,,True,1,OBJECT,ASAS14jc,0.42999999999984,CRVAL1,113.898083,True,,,Swope,
"(2461, 2509)",CRVAL2,-60.57225,,D:\Thesis\pd\CSPAll\ASAS14jg_B_comb_dup.fits,B,,,True,1,OBJECT,ASAS14jg,0.23000000000000403,CRVAL1,353.300958,True,,,du Pont,
"(2461, 2507)",CRVAL2,-60.57225,,D:\Thesis\pd\CSPAll\ASAS14jg_V_comb_dup.fits,V,,,True,1,OBJECT,ASAS14jg,0.23000000000000403,CRVAL1,353.300958,True,,,du Pont,
"(2474, 2468)",CRVAL2,-52.805361,,D:\Thesis\pd\CSPAll\ASAS14jz_B_comb_dup.fits,B,,,True,1,OBJECT,ASAS14jz,0.23000000000000403,CRVAL1,281.180583,True,,,du Pont,
"(2474, 2468)",CRVAL2,-52.805361,,D:\Thesis\pd\CSPAll\ASAS14jz_V_comb_dup.fits,V,,,True,1,OBJECT,ASAS14jz,0.23000000000000403,CRVAL1,281.180583,True,,,du Pont,
"(2185, 2190)",CRVAL2,-52.805361,,D:\Thesis\pd\CSPAll\ASAS14jz_V_comb_swo.fits,V,,,True,1,OBJECT,ASAS14jz,0.42999999999984,CRVAL1,281.180583,True,,,Swope,
"(2263, 2311)",CRVAL2,4.799472,,D:\Thesis\pd\CSPAll\ASAS14kd_V_comb_swo.fits,V,,,True,1,OBJECT,ASAS14kd,0.42999999999984,CRVAL1,343.353125,True,,,Swope,
"(2431, 2431)",CRVAL2,-29.783472,,D:\Thesis\pd\CSPAll\ASAS14kq_B_comb_dup.fits,B,,,True,1,OBJECT,ASAS14kq,0.23000000000000403,CRVAL1,356.311708,True,,,du Pont,
"(2425, 2427)",CRVAL2,-29.783472,,D:\Thesis\pd\CSPAll\ASAS14kq_V_comb_dup.fits,V,,,True,1,OBJECT,ASAS14kq,0.23000000000000403,CRVAL1,356.311708,True,,,du Pont,
"(2324, 2332)",CRVAL2,18.546444,,D:\Thesis\pd\CSPAll\ASAS14lo_V_comb_swo.fits,V,,,True,1,OBJECT,ASAS14lo,0.42999999999984,CRVAL1,177.968625,True,,,Swope,
"(2295, 2320)",CRVAL2,-0.461889,,D:\Thesis\pd\CSPAll\ASAS14lp_V_comb_swo.fits,V,,,True,1,OBJECT,ASAS14lp,0.42999999999984,CRVAL1,191.285792,True,,,Swope,
"(3521, 3525)",CRVAL2,-20.967083,,D:\Thesis\pd\CSPAll\ASAS14lq_B_comb_dup.fits,B,,,True,1,OBJECT,ASAS14lq,0.159000000000012,CRVAL1,344.311708,True,,,du Pont,
"(3518, 3516)",CRVAL2,-20.967083,,D:\Thesis\pd\CSPAll\ASAS14lq_V_comb_dup.fits,V,,,True,1,OBJECT,ASAS14lq,0.159000000000012,CRVAL1,344.311708,True,,,du Pont,
"(6014, 5984)",CRVAL2,-20.967083,,D:\Thesis\pd\CSPAll\ASAS14lq_V_comb_swo.fits,V,,,True,1,OBJECT,ASAS14lq,0.159000000000012,CRVAL1,344.311708,True,,,Swope,
"(2427, 2429)",CRVAL2,-13.109583,,D:\Thesis\pd\CSPAll\ASAS14lt_B_comb_dup.fits,B,,,True,1,OBJECT,ASAS14lt,0.23000000000000403,CRVAL1,47.760625,True,,,du Pont,
"(2422, 2426)",CRVAL2,-13.109583,,D:\Thesis\pd\CSPAll\ASAS14lt_V_comb_dup.fits,V,,,True,1,OBJECT,ASAS14lt,0.23000000000000403,CRVAL1,47.760625,True,,,du Pont,
"(2243, 2247)",CRVAL2,-13.109583,,D:\Thesis\pd\CSPAll\ASAS14lt_V_comb_swo.fits,V,,,True,1,OBJECT,ASAS14lt,0.42999999999984,CRVAL1,47.760625,True,,,Swope,
"(2208, 2294)",CRVAL2,-46.984306,,D:\Thesis\pd\CSPAll\ASAS14lw_V_comb_swo.fits,V,,,True,1,OBJECT,ASAS14lw,0.42999999999984,CRVAL1,16.699708,True,,,Swope,
"(2511, 2469)",CRVAL2,-57.997444,,D:\Thesis\pd\CSPAll\ASAS14me_B_comb_dup.fits,B,,,True,1,OBJECT,ASAS14me,0.23000000000000403,CRVAL1,21.66725,True,,,du Pont,
"(2508, 2465)",CRVAL2,-57.997444,,D:\Thesis\pd\CSPAll\ASAS14me_V_comb_dup.fits,V,,,True,1,OBJECT,ASAS14me,0.23000000000000403,CRVAL1,21.66725,True,,,du Pont,
"(2221, 2226)",CRVAL2,-57.997444,,D:\Thesis\pd\CSPAll\ASAS14me_V_comb_swo.fits,V,,,True,1,OBJECT,ASAS14me,0.42999999999984,CRVAL1,21.66725,True,,,Swope,
"(2429, 2433)",CRVAL2,-32.437889,,D:\Thesis\pd\CSPAll\ASAS14mf_B_comb_dup.fits,B,,,True,1,OBJECT,ASAS14amf,0.23000000000000403,CRVAL1,1.227375,True,,,du Pont,
