object,n_files_affected,original_reason,outcome,resolved_name,redshift,names_tried,error
CSP12F,3,"CSP-internal designator, no IAU name",STILL_ERRORING,,,CSP12F,
CSP12K,1,"CSP-internal designator, no IAU name",STILL_ERRORING,,,CSP12K,
CSP12M,3,"CSP-internal designator, no IAU name",STILL_ERRORING,,,CSP12M,
CSP12N,3,NED name-checker server error,STILL_ERRORING,,,CSP12N,
CSP13aad,3,"CSP-internal designator, no IAU name",STILL_ERRORING,,,CSP13aad,
CSP13aae,1,"CSP-internal designator, no IAU name",STILL_ERRORING,,,CSP13aae,
CSP13aaf,3,"CSP-internal designator, no IAU name",STILL_ERRORING,,,CSP13aaf,
CSP13aap,2,"CSP-internal designator, no IAU name",STILL_ERRORING,,,CSP13aap,
CSP13aaq,2,"CSP-internal designator, no IAU name",STILL_ERRORING,,,CSP13aaq,
CSP13aaw,2,"CSP-internal designator, no IAU name",STILL_ERRORING,,,CSP13aaw,
CSP13aax,2,"CSP-internal designator, no IAU name",STILL_ERRORING,,,CSP13aax,
CSP13aay,2,"CSP-internal designator, no IAU name",STILL_ERRORING,,,CSP13aay,
CSP13ab,1,"CSP-internal designator, no IAU name",STILL_ERRORING,,,CSP13ab,
CSP13aba,2,"CSP-internal designator, no IAU name",STILL_ERRORING,,,CSP13aba,
CSP13abl,3,"CSP-internal designator, no IAU name",STILL_ERRORING,,,CSP13abl,
CSP13abs,2,"CSP-internal designator, no IAU name",STILL_ERRORING,,,CSP13abs,
CSP13ag,2,"CSP-internal designator, no IAU name",STILL_ERRORING,,,CSP13ag,
CSP13al,2,"CSP-internal designator, no IAU name",STILL_ERRORING,,,CSP13al,
CSP13am,2,"CSP-internal designator, no IAU name",STILL_ERRORING,,,CSP13am,
CSP13an,3,"CSP-internal designator, no IAU name",STILL_ERRORING,,,CSP13an,
CSP13ay,1,"CSP-internal designator, no IAU name",STILL_ERRORING,,,CSP13ay,
CSP13B,3,NED name-checker server error,STILL_ERRORING,,,CSP13B,
CSP13bf,3,"CSP-internal designator, no IAU name",STILL_ERRORING,,,CSP13bf,
CSP13bh,3,"CSP-internal designator, no IAU name",STILL_ERRORING,,,CSP13bh,
CSP13C,1,NED name-checker server error,STILL_ERRORING,,,CSP13C,
CSP13G,1,NED name-checker server error,STILL_ERRORING,,,CSP13G,
CSP13M,2,NED name-checker server error,STILL_ERRORING,,,CSP13M,
CSP13N,2,NED name-checker server error,RESOLVED,CSP13N,0.04776,CSP13N,
CSP13P,3,NED name-checker server error,STILL_ERRORING,,,CSP13P,
CSP13Q,3,NED name-checker server error,STILL_ERRORING,,,CSP13Q,
CSP13U,3,NED name-checker server error,STILL_ERRORING,,,CSP13U,
CSP13Y,3,"CSP-internal designator, no IAU name",STILL_ERRORING,,,CSP13Y,
CSP13Z,1,"CSP-internal designator, no IAU name",STILL_ERRORING,,,CSP13Z,
CSP14aaa,2,"CSP-internal designator, no IAU name",STILL_ERRORING,,,CSP14aaa,
CSP14aab,2,"CSP-internal designator, no IAU name",STILL_ERRORING,,,CSP14aab,
CSP14aal,2,"CSP-internal designator, no IAU name",STILL_ERRORING,,,CSP14aal,
CSP14aar,3,"CSP-internal designator, no IAU name",STILL_ERRORING,,,CSP14aar,
CSP14aaw,3,"CSP-internal designator, no IAU name",STILL_ERRORING,,,CSP14aaw,
CSP14aax,2,"CSP-internal designator, no IAU name",STILL_ERRORING,,,CSP14aax,
CSP14aay,2,"CSP-internal designator, no IAU name",STILL_ERRORING,,,CSP14aay,
CSP14aba,2,"CSP-internal designator, no IAU name",STILL_ERRORING,,,CSP14aba,
CSP14abf,3,"CSP-internal designator, no IAU name",STILL_ERRORING,,,CSP14abf,
CSP14abh,2,"CSP-internal designator, no IAU name",STILL_ERRORING,,,CSP14abh,
CSP14abl,3,"CSP-internal designator, no IAU name",STILL_ERRORING,,,CSP14abl,
CSP14abn,1,"CSP-internal designator, no IAU name",STILL_ERRORING,,,CSP14abn,
CSP14acl,1,"CSP-internal designator, no IAU name",STILL_ERRORING,,,CSP14acl,
CSP14acm,2,"CSP-internal designator, no IAU name",STILL_ERRORING,,,CSP14acm,
CSP14acp,3,"CSP-internal designator, no IAU name",STILL_ERRORING,,,CSP14acp,
CSP14adc,2,"CSP-internal designator, no IAU name",STILL_ERRORING,,,CSP14adc,
CSP14adf,2,"CSP-internal designator, no IAU name",STILL_ERRORING,,,CSP14adf,
CSP15aaj,3,"CSP-internal designator, no IAU name",STILL_ERRORING,,,CSP15aaj,
CSP15aak,1,"CSP-internal designator, no IAU name",STILL_ERRORING,,,CSP15aak,
CSP15B,3,"CSP-internal designator, no IAU name",STILL_ERRORING,,,CSP15B,
LSQ13dsm,2,"LSQ-internal designator, no IAU name",STILL_ERRORING,,,LSQ13dsm,
LSQ14ghv,3,"LSQ-internal designator, no IAU name",STILL_ERRORING,,,LSQ14ghv,
PTF11pbp,3,"PTF-internal designator, no IAU name",STILL_ERRORING,,,PTF11pbp,
PTF11ppn,3,"PTF-internal designator, no IAU name",STILL_ERRORING,,,PTF11ppn,
PTF11pra,3,"PTF-internal designator, no IAU name",STILL_ERRORING,,,PTF11pra,
PTF13anh,2,"PTF-internal designator, no IAU name",STILL_ERRORING,,,PTF13anh,
PTF13duj,3,"PTF-internal designator, no IAU name",STILL_ERRORING,,,PTF13duj,
PTF13dwl,2,"PTF-internal designator, no IAU name",STILL_ERRORING,,,PTF13dwl,
PTF13dym,2,"PTF-internal designator, no IAU name",STILL_ERRORING,,,PTF13dym,
PTF13ebh,3,"PTF-internal designator, no IAU name",STILL_ERRORING,,,PTF13ebh,
PTF13efe,3,"PTF-internal designator, no IAU name",STILL_ERRORING,,,PTF13efe,
PTF13ez,2,"PTF-internal designator, no IAU name",STILL_ERRORING,,,PTF13ez,
PTF14aje,2,"PTF-internal designator, no IAU name",STILL_ERRORING,,,PTF14aje,
PTF14fpg,3,"PTF-internal designator, no IAU name",STILL_ERRORING,,,PTF14fpg,
PTF14gnl,2,"PTF-internal designator, no IAU name",STILL_ERRORING,,,PTF14gnl,
PTF14uo,2,"PTF-internal designator, no IAU name",STILL_ERRORING,,,PTF14uo,
PTF14w,3,"PTF-internal designator, no IAU name",STILL_ERRORING,,,PTF14w,
PTF14yy,2,"PTF-internal designator, no IAU name",STILL_ERRORING,,,PTF14yy,
SN09J,2,not recognized by NED name interpreter,NO_REDSHIFT,,,SN09J;SN2009J;SN 2009J,"SN09J: The remote service returned the following error message.
ERROR: The object name that you have submitted is not currently recognized by the NED name interpreter."
