file,object,filter,telescope,date_kind,date_val,ra_deg,dec_deg,redshift,ned_resolved_name,ned_error
D:\Thesis\pd\CSPAll\ASAS14ad_B_comb_dup.fits,ASAS14ad,B,duPont,mjd,57097.0,,,,,
D:\Thesis\pd\CSPAll\ASAS14ad_V_comb_dup.fits,ASAS14ad,V,duPont,mjd,57097.0,,,,,
D:\Thesis\pd\CSPAll\ASAS14hp_B_comb_dup.fits,ASAS14hp,B,duPont,mjd,57342.0,,,,,
D:\Thesis\pd\CSPAll\ASAS14hp_V_comb_dup.fits,ASAS14hp,V,duPont,mjd,57342.0,,,,,
D:\Thesis\pd\CSPAll\ASAS14hr_B_comb_dup.fits,ASAS14hr,B,duPont,mjd,57341.0,,,,,
D:\Thesis\pd\CSPAll\ASAS14hr_V_comb_dup.fits,ASAS14hr,V,duPont,mjd,57341.0,,,,,
D:\Thesis\pd\CSPAll\ASAS14hu_B_comb_dup.fits,ASAS14hu,B,duPont,mjd,57344.0,,,,,
D:\Thesis\pd\CSPAll\ASAS14hu_V_comb_dup.fits,ASAS14hu,V,duPont,mjd,57344.0,,,,,
D:\Thesis\pd\CSPAll\ASAS14hu_V_comb_swo.fits,ASAS14hu,V,Swope,mjd,57036.0,,,,,
D:\Thesis\pd\CSPAll\ASAS14jc_B_comb_dup.fits,ASAS14jc,B,duPont,mjd,57401.0,,,,,
D:\Thesis\pd\CSPAll\ASAS14jc_V_comb_dup.fits,ASAS14jc,V,duPont,mjd,57401.0,,,,,
D:\Thesis\pd\CSPAll\ASAS14jc_V_comb_swo.fits,ASAS14jc,V,Swope,mjd,57370.0,,,,,
D:\Thesis\pd\CSPAll\ASAS14jg_B_comb_dup.fits,ASAS14jg,B,duPont,mjd,57342.0,,,,,
D:\Thesis\pd\CSPAll\ASAS14jg_V_comb_dup.fits,ASAS14jg,V,duPont,mjd,57342.0,,,,,
D:\Thesis\pd\CSPAll\ASAS14jz_B_comb_dup.fits,ASAS14jz,B,duPont,mjd,57458.0,,,,,
D:\Thesis\pd\CSPAll\ASAS14jz_V_comb_dup.fits,ASAS14jz,V,duPont,mjd,57458.0,,,,,
D:\Thesis\pd\CSPAll\ASAS14jz_V_comb_swo.fits,ASAS14jz,V,Swope,mjd,57440.0,,,,,
D:\Thesis\pd\CSPAll\ASAS14kd_V_comb_swo.fits,ASAS14kd,V,Swope,mjd,57534.0,,,,,
D:\Thesis\pd\CSPAll\ASAS14kq_B_comb_dup.fits,ASAS14kq,B,duPont,mjd,57341.0,,,,,
D:\Thesis\pd\CSPAll\ASAS14kq_V_comb_dup.fits,ASAS14kq,V,duPont,mjd,57341.0,,,,,
D:\Thesis\pd\CSPAll\ASAS14lo_V_comb_swo.fits,ASAS14lo,V,Swope,mjd,57117.0,,,,,
D:\Thesis\pd\CSPAll\ASAS14lp_V_comb_swo.fits,ASAS14lp,V,Swope,mjd,57120.0,,,,,
D:\Thesis\pd\CSPAll\ASAS14lq_B_comb_dup.fits,ASAS14lq,B,duPont,mjd,57006.0,,,,,
D:\Thesis\pd\CSPAll\ASAS14lq_V_comb_dup.fits,ASAS14lq,V,duPont,mjd,57006.0,,,,,
D:\Thesis\pd\CSPAll\ASAS14lq_V_comb_swo.fits,ASAS14lq,V,Swope,mjd,57024.0,,,,,
D:\Thesis\pd\CSPAll\ASAS14lt_B_comb_dup.fits,ASAS14lt,B,duPont,mjd,57341.0,,,,,
D:\Thesis\pd\CSPAll\ASAS14lt_V_comb_dup.fits,ASAS14lt,V,duPont,mjd,57341.0,,,,,
D:\Thesis\pd\CSPAll\ASAS14lt_V_comb_swo.fits,ASAS14lt,V,Swope,mjd,57374.0,,,,,
D:\Thesis\pd\CSPAll\ASAS14lw_V_comb_swo.fits,ASAS14lw,V,Swope,mjd,57681.0,,,,,
D:\Thesis\pd\CSPAll\ASAS14me_B_comb_dup.fits,ASAS14me,B,duPont,mjd,57341.0,,,,,
D:\Thesis\pd\CSPAll\ASAS14me_V_comb_dup.fits,ASAS14me,V,duPont,mjd,57341.0,,,,,
D:\Thesis\pd\CSPAll\ASAS14me_V_comb_swo.fits,ASAS14me,V,Swope,mjd,57373.0,,,,,
D:\Thesis\pd\CSPAll\ASAS14mf_B_comb_dup.fits,ASAS14mf,B,duPont,mjd,57342.0,,,,,
D:\Thesis\pd\CSPAll\ASAS14mf_V_comb_dup.fits,ASAS14mf,V,duPont,mjd,57342.0,,,,,
D:\Thesis\pd\CSPAll\ASAS14mw_V_comb_swo.fits,ASAS14mw,V,Swope,mjd,57064.0,,,,,
D:\Thesis\pd\CSPAll\ASAS14my_B_comb_dup.fits,ASAS14my,B,duPont,mjd,57404.0,,,,,
D:\Thesis\pd\CSPAll\ASAS14my_V_comb_dup.fits,ASAS14my,V,duPont,mjd,57404.0,,,,,
D:\Thesis\pd\CSPAll\ASAS15aj_B_comb_dup.fits,ASAS15aj,B,duPont,mjd,57403.0,,,,,
D:\Thesis\pd\CSPAll\ASAS15aj_V_comb_dup.fits,ASAS15aj,V,duPont,mjd,57403.0,,,,,
D:\Thesis\pd\CSPAll\ASAS15aj_V_comb_swo.fits,ASAS15aj,V,Swope,mjd,57435.0,,,,,
D:\Thesis\pd\CSPAll\ASAS15al_B_comb_dup.fits,ASAS15al,B,duPont,mjd,57401.0,,,,,
D:\Thesis\pd\CSPAll\ASAS15al_V_comb_dup.fits,ASAS15al,V,duPont,mjd,57401.0,,,,,
D:\Thesis\pd\CSPAll\ASAS15al_V_comb_swo.fits,ASAS15al,V,Swope,mjd,57399.0,,,,,
D:\Thesis\pd\CSPAll\ASAS15as_B_comb_dup.fits,ASAS15as,B,duPont,mjd,57403.0,,,,,
D:\Thesis\pd\CSPAll\ASAS15as_V_comb_dup.fits,ASAS15as,V,duPont,mjd,57403.0,,,,,
D:\Thesis\pd\CSPAll\ASAS15as_V_comb_swo.fits,ASAS15as,V,Swope,mjd,57428.0,,,,,
D:\Thesis\pd\CSPAll\ASAS15ba_B_comb_dup.fits,ASAS15ba,B,duPont,mjd,57458.0,,,,,
D:\Thesis\pd\CSPAll\ASAS15ba_V_comb_dup.fits,ASAS15ba,V,duPont,mjd,57458.0,,,,,
D:\Thesis\pd\CSPAll\ASAS15ba_V_comb_swo.fits,ASAS15ba,V,Swope,mjd,57444.0,,,,,
D:\Thesis\pd\CSPAll\ASAS15be_B_comb_dup.fits,ASAS15be,B,duPont,mjd,57342.0,,,,,
D:\Thesis\pd\CSPAll\ASAS15be_V_comb_dup.fits,ASAS15be,V,duPont,mjd,57342.0,,,,,
D:\Thesis\pd\CSPAll\ASAS15be_V_comb_swo.fits,ASAS15be,V,Swope,mjd,57399.0,,,,,
D:\Thesis\pd\CSPAll\ASAS15bm_V_comb_swo.fits,ASAS15bm,V,Swope,mjd,57436.0,,,,,
D:\Thesis\pd\CSPAll\ASAS15cb_B_comb_dup.fits,ASAS15cb,B,duPont,mjd,57404.0,,,,,
D:\Thesis\pd\CSPAll\ASAS15cb_V_comb_dup.fits,ASAS15cb,V,duPont,mjd,57404.0,,,,,
D:\Thesis\pd\CSPAll\ASAS15cb_V_comb_swo.fits,ASAS15cb,V,Swope,mjd,57402.0,,,,,
D:\Thesis\pd\CSPAll\ASAS15cd_B_comb_dup.fits,ASAS15cd,B,duPont,mjd,57402.0,,,,,
D:\Thesis\pd\CSPAll\ASAS15cd_V_comb_dup.fits,ASAS15cd,V,duPont,mjd,57402.0,,,,,
D:\Thesis\pd\CSPAll\ASAS15da_B_comb_dup.fits,ASAS15da,B,duPont,mjd,57401.0,,,,,
D:\Thesis\pd\CSPAll\ASAS15da_V_comb_dup.fits,ASAS15da,V,duPont,mjd,57401.0,,,,,
D:\Thesis\pd\CSPAll\ASAS15da_V_comb_swo.fits,ASAS15da,V,Swope,mjd,57399.0,,,,,
D:\Thesis\pd\CSPAll\ASAS15db_V_comb_swo.fits,ASAS15db,V,Swope,mjd,57440.0,,,,,
D:\Thesis\pd\CSPAll\ASAS15dd_B_comb_dup.fits,ASAS15dd,B,duPont,mjd,57485.0,,,,,
D:\Thesis\pd\CSPAll\ASAS15dd_V_comb_dup.fits,ASAS15dd,V,duPont,mjd,57485.0,,,,,
D:\Thesis\pd\CSPAll\ASAS15dd_V_comb_swo.fits,ASAS15dd,V,Swope,mjd,57440.0,,,,,
D:\Thesis\pd\CSPAll\ASAS15eb_B_comb_dup.fits,ASAS15eb,B,duPont,mjd,57402.0,,,,,
D:\Thesis\pd\CSPAll\ASAS15eb_V_comb_dup.fits,ASAS15eb,V,duPont,mjd,57402.0,,,,,
D:\Thesis\pd\CSPAll\ASAS15eb_V_comb_swo.fits,ASAS15eb,V,Swope,mjd,57400.0,,,,,
D:\Thesis\pd\CSPAll\ASAS15fr_B_comb_dup.fits,ASAS15fr,B,duPont,mjd,57402.0,,,,,
D:\Thesis\pd\CSPAll\ASAS15fr_V_comb_dup.fits,ASAS15fr,V,duPont,mjd,57402.0,,,,,
D:\Thesis\pd\CSPAll\ASAS15fr_V_comb_swo.fits,ASAS15fr,V,Swope,mjd,57464.0,,,,,
D:\Thesis\pd\CSPAll\ASAS15ga_B_comb_dup.fits,ASAS15ga,B,duPont,mjd,57456.0,,,,,
D:\Thesis\pd\CSPAll\ASAS15ga_V_comb_dup.fits,ASAS15ga,V,duPont,mjd,57456.0,,,,,
D:\Thesis\pd\CSPAll\ASAS15ga_V_comb_swo.fits,ASAS15ga,V,Swope,mjd,57436.0,,,,,
D:\Thesis\pd\CSPAll\ASAS15go_B_comb_dup.fits,ASAS15go,B,duPont,mjd,57401.0,,,,,
D:\Thesis\pd\CSPAll\ASAS15go_V_comb_dup.fits,ASAS15go,V,duPont,mjd,57401.0,,,,,
D:\Thesis\pd\CSPAll\ASAS15go_V_comb_swo.fits,ASAS15go,V,Swope,mjd,57398.0,,,,,
D:\Thesis\pd\CSPAll\ASAS15gr_B_comb_dup.fits,ASAS15gr,B,duPont,mjd,57402.0,,,,,
