fname,telescope,filter,plate_scale,n_stars,median,mean,std,max,mad_sigma,iqr_p16_p84,flag_high_scatter,flag_very_soft,flag_few_stars,any_flag
ASAS14jc_V_comb_swo.fits,swo,V,0.43,25,2.3581480680050215,2.3513029776564314,0.39624701025348674,3.0664330352933233,0.39522997942944454,0.7743248756722751,False,True,False,True
ASAS14lq_V_comb_swo.fits,swo,V,0.159,15,2.1359455166368972,2.116380645123105,0.06374597544414536,2.196866593153237,0.042778023746946434,0.11247968815298925,False,True,False,True
ASAS15as_V_comb_swo.fits,swo,V,0.43,25,2.000116555026766,2.1456617020615445,0.4521022201677817,3.6382707928919005,0.11406003377196396,0.2353423997717461,False,True,False,True
ASAS15ba_V_comb_swo.fits,swo,V,0.43,25,2.110402542293115,2.132451636995219,0.08034532726520913,2.478015085306085,0.03346334031855345,0.06341330751687568,False,True,False,True
ASAS15be_V_comb_swo.fits,swo,V,0.43,24,2.354769433344863,2.354402246385819,0.0385448700499312,2.45017902337335,0.03830221342858806,0.07366819057763951,False,True,False,True
ASAS15eb_V_comb_swo.fits,swo,V,0.43,25,2.017247233806099,2.136081296871893,0.6976100559065996,4.884419353000567,0.2863907680251554,0.6208153478855085,False,True,False,True
CSP13aao_V_comb_swo.fits,swo,V,0.43,25,2.3009141822046044,2.343852958304483,0.4957244119843282,3.400934040788783,0.6371860465738458,0.977920749866193,True,True,False,True
CSP14acp_V_comb_swo.fits,swo,V,0.43,25,2.1047501335595995,2.1863743572911924,0.46505870247022846,4.221277072045839,0.2493158546874395,0.3841965572629398,False,True,False,True
PTF13ebh_B_comb_dup.fits,dup,B,0.23,22,2.601818904454496,2.596781707188804,0.02415951275112689,2.6348867595562706,0.016332659091007222,0.04292781699206483,False,True,False,True
PTF13ebh_V_comb_swo.fits,swo,V,0.43,25,2.128205655246094,2.2512570022297305,0.4264134648445839,4.176363774428041,0.07937360631932248,0.15232931328657529,False,True,False,True
SN07ol_V_comb_dup.fits,dup,V,0.23,11,1.493276576072727,2.551198770696667,2.4630212752193823,7.374204302403523,0.9169697676113409,4.974678214566001,True,False,False,True
SN2012fr_B_comb_dup.fits,dup,B,0.23,22,1.5962539963871287,2.1298842692300304,1.353784502095888,5.502671655747542,0.8453708712589252,2.006553247725763,True,False,False,True
SN2012fr_V_comb_dup.fits,dup,V,0.23,20,1.5113217944270922,1.9644723183103316,1.5534136540703165,7.238756393831852,0.8491963094715733,1.4529697870156588,True,False,False,True
