telescope,filter,file,n_stars,median,mean,std,max,mad_sigma
swo,V,ASAS14lq_V_comb_swo.fits,18,3.0495495616657644,2.637098110462245,0.9800338759807116,3.177857336007828,0.11712715534294854
dup,B,PTF13ebh_B_comb_dup.fits,24,2.5994669491995843,2.40624919817513,0.6459314139249239,2.6348867595562706,0.020594042626128222
swo,V,ASAS14mw_V_comb_swo.fits,25,2.517336020941723,2.515075686187728,0.16859531420288143,2.969226315186517,0.17596725642243213
swo,V,KISS15n_V_comb_swo.fits,25,2.4365853282799064,2.607779358508262,0.4494555960846805,3.839322517841013,0.09414660019759054
swo,V,CSP14acl_V_comb_swo.fits,25,2.2989693359647685,2.192959338309753,0.42217124655612404,2.432377301279274,0.09120384438567479
dup,B,CSP13aaw_B_comb_dup.fits,25,2.180756302099867,1.64150939931041,0.8370579781339889,2.307188307911041,0.02852575237023913
swo,V,CSP12K_V_comb_swo.fits,25,2.0385192908977032,2.521180931626458,0.9772337352239017,5.7179152377032505,0.3099282506503916
dup,B,SN2011iv_B_comb_dup.fits,16,1.9355194455056597,1.8526507989551244,0.413809098250092,2.126192430088548,0.03931060253505628
dup,V,SN2011iv_V_comb_dup.fits,18,1.9215847400264916,2.0249909054095405,0.496559427100828,3.762379446299325,0.019773750904076192
dup,V,KISS13v_V_comb_dup.fits,25,1.8851984101830213,1.95085493640827,0.21161229660880437,2.7802174508715827,0.05950495674082713
dup,V,CSP13aaw_V_comb_dup.fits,25,1.834093650482013,2.0415275305745038,0.5017745210906837,3.503671090245901,0.03345738757340336
dup,B,SN09dc_B_comb_dup.fits,24,1.8191004126965495,1.8586849948471198,0.19597738406708598,2.769924269792351,0.03193175045217203
dup,V,SN09dc_V_comb_dup.fits,25,1.811561774638449,1.9477273446114032,0.38794076498426044,3.200796628574333,0.0461333748810705
dup,V,SN2012hl_V_comb_dup.fits,25,1.782040841167414,1.731881529026557,0.29062784985200996,1.8567091496675887,0.03146125732099172
swo,V,SN08ha_V_comb_swo.fits,25,1.774026295416801,1.8487854771421717,0.314576355385488,3.066260559932861,0.04910936652325787
dup,B,SN2012hl_B_comb_dup.fits,15,1.744541331525823,1.7481233282492639,0.051295353180988365,1.8425666669210623,0.06474290878364339
dup,V,PTF13ebh_V_comb_dup.fits,25,1.7307056694894944,1.7342468519828262,0.023192043563596564,1.8162685958293916,0.013237392830268108
dup,B,ASAS14lq_B_comb_dup.fits,25,1.7116922316064245,1.4078981494674805,0.656429473524082,2.874676718536041,0.031195283052271844
dup,V,LSQ11bk_V_comb_dup.fits,25,1.7044040493194228,1.7078581812547855,0.020874374643165366,1.7392114913162515,0.018531366486640687
swo,V,SN07ai_V_comb_swo.fits,25,1.7006214435584943,1.7227542995294454,0.10295401725445114,2.028757304867549,0.1061942500751873
swo,V,SN06ev_V_comb_swo.fits,25,1.682950431080504,1.70039587926416,0.08737150748623078,1.8416519219424143,0.08704989665530229
