object,telescope,filter,file,plate_scale,z,n_stars,fwhm_arcsec,sigma_min_arcsec,sigma_min_kpc,smallest_safe_grid_radius_kpc
ASAS14ad,dup,B,ASAS14ad_B_comb_dup.fits,0.23,0.0264,16,1.1262636626642502,0.47828014078648956,0.25390156479018405,1.0
ASAS14ad,dup,V,ASAS14ad_V_comb_dup.fits,0.23,0.0264,24,0.9783338243947695,0.41546012250881414,0.22055269750369952,1.0
ASAS14hp,dup,B,ASAS14hp_B_comb_dup.fits,0.23,0.03892,24,1.5545714823499868,0.6601657250329526,0.508968012078384,1.0
ASAS14hp,dup,V,ASAS14hp_V_comb_dup.fits,0.23,0.03892,25,1.3119689673382915,0.5571419226308855,0.4295397444222301,1.0
ASAS14hr,dup,B,ASAS14hr_B_comb_dup.fits,0.23,0.03362,23,0.39737558468500633,0.16874987348758688,0.11309852019161128,1.0
ASAS14hr,dup,V,ASAS14hr_V_comb_dup.fits,0.23,0.03362,17,1.628524991339024,0.6915708887290453,0.4635004608083808,1.0
ASAS14hu,dup,B,ASAS14hu_B_comb_dup.fits,0.23,0.015,25,1.358466311988241,0.5768875268642393,0.17641722126863188,1.0
ASAS14hu,dup,V,ASAS14hu_V_comb_dup.fits,0.23,0.015,25,1.195952034650027,0.5078740675635401,0.15531230540029076,1.0
ASAS14hu,swo,V,ASAS14hu_V_comb_swo.fits,0.43,0.015,25,1.6183154397778745,0.6872352913730209,0.2101625270367455,1.0
ASAS14jc,dup,B,ASAS14jc_B_comb_dup.fits,0.23,0.011325,25,1.0463925332801107,0.44436199508670227,0.10305549894185102,1.0
ASAS14jc,dup,V,ASAS14jc_V_comb_dup.fits,0.23,0.011325,25,0.9288113020023651,0.39442984357225386,0.09147533942222885,1.0
ASAS14jg,dup,B,ASAS14jg_B_comb_dup.fits,0.23,0.014827,21,1.414476366461242,0.600672807013859,0.1816104882210161,1.0
ASAS14jg,dup,V,ASAS14jg_V_comb_dup.fits,0.23,0.014827,25,1.3768168455240868,0.5846802809536944,0.1767752261086648,1.0
ASAS14jz,dup,B,ASAS14jz_B_comb_dup.fits,0.23,0.012,25,1.546377914972275,0.6566862373349429,0.16124229950258845,1.0
ASAS14jz,dup,V,ASAS14jz_V_comb_dup.fits,0.23,0.012,25,1.3609088324159508,0.5779247697876907,0.14190326143920967,1.0
ASAS14jz,swo,V,ASAS14jz_V_comb_swo.fits,0.43,0.012,25,1.6398891956682908,0.6963968219689322,0.17099280989391666,1.0
ASAS14kd,swo,V,ASAS14kd_V_comb_swo.fits,0.43,0.026,25,1.7291158901531969,0.7342879103657669,0.3840854503810149,1.0
ASAS14kq,dup,B,ASAS14kq_B_comb_dup.fits,0.23,0.0336,19,1.2977835843507926,0.5511179451225267,0.36915604725856355,1.0
ASAS14kq,dup,V,ASAS14kq_V_comb_dup.fits,0.23,0.0336,24,1.2206041194772,0.5183428440966739,0.34720225887209766,1.0
ASAS14lo,swo,V,ASAS14lo_V_comb_swo.fits,0.43,0.01993,25,1.77764615391638,0.7548968158596664,0.3049031715885975,1.0
ASAS14lp,swo,V,ASAS14lp_V_comb_swo.fits,0.43,0.0051,25,1.571226101848693,0.6672382907408292,0.07021666637522316,1.0
ASAS14lq,dup,B,ASAS14lq_B_comb_dup.fits,0.159,0.026191,18,1.1911474855683637,0.5058337634257349,0.2664699295335267,1.0
ASAS14lq,dup,V,ASAS14lq_V_comb_dup.fits,0.159,0.026191,20,1.134856229943566,0.4819290681418718,0.25387709186948526,1.0
ASAS14lt,dup,B,ASAS14lt_B_comb_dup.fits,0.23,0.032046,18,1.2014596050742241,0.5102129173774862,0.32655769320286315,1.0
ASAS14lt,dup,V,ASAS14lt_V_comb_dup.fits,0.23,0.032046,22,1.409365536341359,0.5985024372946663,0.3830666936145702,1.0
ASAS14lt,swo,V,ASAS14lt_V_comb_swo.fits,0.43,0.032046,25,1.4790478756608023,0.6280938022342014,0.4020064098472526,1.0
ASAS14lw,swo,V,ASAS14lw_V_comb_swo.fits,0.43,0.016,25,1.4117517122004652,0.5995157528828963,0.19532272981887416,1.0
ASAS14me,dup,B,ASAS14me_B_comb_dup.fits,0.23,0.018,20,1.6718728296254097,0.7099790207550388,0.25959634116414737,1.0
ASAS14me,dup,V,ASAS14me_V_comb_dup.fits,0.23,0.018,24,1.5995892289458484,0.6792830018248062,0.24837266557705817,1.0
ASAS14me,swo,V,ASAS14me_V_comb_swo.fits,0.43,0.018,25,1.6644323796849188,0.7068193525858334,0.258441041821434,1.0
ASAS14mf,dup,B,ASAS14mf_B_comb_dup.fits,0.23,0.0311,18,0.957184282610518,0.4064787390570806,0.25276994933997277,1.0
ASAS14mf,dup,V,ASAS14mf_V_comb_dup.fits,0.23,0.0311,20,0.8574465788954793,0.3641240360191557,0.22643155790026093,1.0
ASAS14mw,swo,V,ASAS14mw_V_comb_swo.fits,0.159,0.027406,25,1.7402453362162342,0.7390141509490006,0.4067729386418942,1.0
ASAS14my,dup,B,ASAS14my_B_comb_dup.fits,0.23,0.020514,19,1.2440670157036633,0.5283066187281893,0.2194810549809638,1.0
ASAS14my,dup,V,ASAS14my_V_comb_dup.fits,0.23,0.020514,22,1.287744963832758,0.546854935497134,0.22718681521234108,1.0
ASAS15aj,dup,B,ASAS15aj_B_comb_dup.fits,0.23,0.01092,25,1.2013628674967525,0.5101718367107594,0.11414292220231868,1.0
ASAS15aj,dup,V,ASAS15aj_V_comb_dup.fits,0.23,0.01092,25,1.1085841410811508,0.47077233923689515,0.10532790449384531,1.0
ASAS15aj,swo,V,ASAS15aj_V_comb_swo.fits,0.43,0.01092,25,1.5911748289268726,0.6757097351385761,0.15117942265597678,1.0
ASAS15al,dup,B,ASAS15al_B_comb_dup.fits,0.23,0.032,25,0.759389103507723,0.3224828602551421,0.20611765916989488,1.0
ASAS15al,dup,V,ASAS15al_V_comb_dup.fits,0.23,0.032,25,0.7699072029891014,0.3269494858487085,0.2089725408557179,1.0
ASAS15al,swo,V,ASAS15al_V_comb_swo.fits,0.43,0.032,25,1.8137919630619044,0.7702465277078384,0.49230961034416,1.0
ASAS15as,dup,B,ASAS15as_B_comb_dup.fits,0.23,0.028,25,1.2315957612932011,0.5230105646043175,0.2939084310147995,1.0
ASAS15as,dup,V,ASAS15as_V_comb_dup.fits,0.23,0.028,25,0.9772251819903983,0.4149893254274361,0.23320534952586108,1.0
ASAS15ba,dup,B,ASAS15ba_B_comb_dup.fits,0.23,0.02313,16,1.034471966055861,0.4392997962790252,0.20512858789323743,1.0
ASAS15ba,dup,V,ASAS15ba_V_comb_dup.fits,0.23,0.02313,23,0.9671951848838061,0.4107299778277088,0.1917880706316215,1.0
ASAS15be,dup,B,ASAS15be_B_comb_dup.fits,0.23,0.0219,18,0.8932018478513322,0.37930790071883935,0.1679460976074345,1.0
ASAS15be,dup,V,ASAS15be_V_comb_dup.fits,0.23,0.0219,25,0.708179904205638,0.3007363155838647,0.13315696961605467,1.0
ASAS15bm,swo,V,ASAS15bm_V_comb_swo.fits,0.43,0.0206,25,1.6596831834663992,0.7048025546447164,0.29400195198628765,1.0
ASAS15cb,dup,B,ASAS15cb_B_comb_dup.fits,0.23,0.04004,15,1.146832342331465,0.48701485480874285,0.3857632365108057,1.0
ASAS15cb,dup,V,ASAS15cb_V_comb_dup.fits,0.23,0.04004,22,0.9798094190247916,0.416086749852647,0.3295812637079702,1.0
ASAS15cb,swo,V,ASAS15cb_V_comb_swo.fits,0.43,0.04004,24,1.1344388484666048,0.481751822548162,0.3815944019492813,1.0
ASAS15cd,dup,B,ASAS15cd_B_comb_dup.fits,0.23,0.03435,25,0.9676867973842368,0.41093874643466377,0.2811512990353161,1.0
ASAS15cd,dup,V,ASAS15cd_V_comb_dup.fits,0.23,0.03435,25,0.9025596065082685,0.38328177493342436,0.26222927347209146,1.0
ASAS15da,dup,B,ASAS15da_B_comb_dup.fits,0.23,0.048,25,0.7381648715712563,0.3134697588161369,0.29485650502052163,1.0
ASAS15da,dup,V,ASAS15da_V_comb_dup.fits,0.23,0.048,25,0.7282648206785681,0.30926559429257644,0.2909019760011038,1.0
ASAS15da,swo,V,ASAS15da_V_comb_swo.fits,0.43,0.048,25,1.7826942045723284,0.7570405255951941,0.7120888610720006,1.0
