object,z,radius_kpc,B,V,instrumental_B_minus_V
ASAS14ad,0.0264,1.0,2818.339231914026,5730.547648584534,0.7705071545190239
ASAS14ad,0.0264,1.5,6864.165687537927,13746.71640305424,0.7540280380239371
ASAS14ad,0.0264,2.0,12176.839855241358,24907.808369953837,0.7770023034315955
ASAS14ad,0.0264,2.5,18323.39882177486,37731.51610564631,0.7842455542145783
ASAS14ad,0.0264,3.0,25027.167555237524,51591.73828813209,0.785421149179339
ASAS14ad,0.0264,3.5,33441.03175960497,69785.24277307077,0.7987098134494365
ASAS14ad,0.0264,4.0,45105.33296024413,97069.81121538584,0.8321407298378375
ASAS14ad,0.0264,4.5,53810.06848122453,115941.96908360015,0.833442817810594
ASAS14ad,0.0264,5.0,61182.72762487328,132389.9124902707,0.8380651511704863
ASAS14ad,0.0264,5.5,69431.06748974588,149195.057805292,0.8305014863746638
ASAS14ad,0.0264,6.0,77600.51495493432,166464.38857121687,0.8286418417576091
ASAS14ad,0.0264,6.5,85498.23364241185,182781.48241317988,0.8249376319634859
ASAS14ad,0.0264,7.0,92413.61662923408,197064.2657497204,0.8221797817759536
ASAS14ad,0.0264,7.5,99038.54587492076,210189.3250484868,0.8170160009267786
ASAS14ad,0.0264,8.0,105265.87323141829,223073.61995304728,0.815401543508671
ASAS14ad,0.0264,8.5,111173.82155440414,234586.68438191517,0.8107520560695392
ASAS14ad,0.0264,9.0,116061.1252047412,243305.55589651465,0.8036631236982751
ASAS14ad,0.0264,9.5,120219.894842699,253735.8767490181,0.8110138361926624
ASAS14ad,0.0264,10.0,123530.12730391392,260662.4922067172,0.8107641356773571
ASAS14hp,0.03892,1.0,242.68537978175823,928.5984858831348,1.4569608937467229
ASAS14hp,0.03892,1.5,552.7512193353111,1909.2360878179,1.3458248134982163
ASAS14hp,0.03892,2.0,1055.0746641166438,3430.650928220767,1.2802333404025499
ASAS14hp,0.03892,2.5,1851.946086891644,5251.043679705528,1.1315432284142206
ASAS14hp,0.03892,3.0,2691.7966776395715,7128.234606911687,1.0573493303821333
ASAS14hp,0.03892,3.5,3308.637426876008,9329.42980269566,1.1255148079285946
ASAS14hp,0.03892,4.0,4381.603258009409,11175.664295835097,1.0166007418639822
ASAS14hp,0.03892,4.5,5411.393048275126,13644.407929049295,1.004114039265135
ASAS14hp,0.03892,5.0,6382.187528489336,16422.62760740661,1.0261827103760675
ASAS14hp,0.03892,5.5,7960.4778422554655,19272.501967276057,0.9599974020827301
ASAS14hp,0.03892,6.0,9350.300862489845,22851.58050039802,0.9702266439418445
ASAS14hp,0.03892,6.5,11390.536807764693,27274.437770544933,0.948029037787101
ASAS14hp,0.03892,7.0,13864.413545388368,32976.225135051645,0.9407485887396992
ASAS14hp,0.03892,7.5,16699.70509587148,40186.53411001738,0.9534293753752054
ASAS14hp,0.03892,8.0,20909.724578838825,49346.00927201106,0.932259309109539
ASAS14hp,0.03892,8.5,28010.64762313455,62139.57719622722,0.8651128596393545
ASAS14hp,0.03892,9.0,38493.6631004708,85782.3051531718,0.8700211786563135
ASAS14hp,0.03892,9.5,48463.04636695082,114668.19161141058,0.9350806330953398
ASAS14hp,0.03892,10.0,55908.16549891232,134333.95432951557,0.9517763924515832
ASAS14hr,0.03362,1.0,9844.7177095556,24666.67597093734,0.997268403168155
ASAS14hr,0.03362,1.5,22199.09530737244,55164.00429177852,0.9883012695756005
