object,z,radius_kpc,B,V,instrumental_B_minus_V
ASAS14ad,0.0264,1.0,2871.7358474553657,5849.859357278104,0.7725023385592554
ASAS14ad,0.0264,1.5,6984.308072505941,14015.167747614772,0.7561872817042224
ASAS14ad,0.0264,2.0,12390.426317406716,25385.055204728116,0.7787296569889968
ASAS14ad,0.0264,2.5,18657.127668908237,38477.21428498113,0.7858970965090111
ASAS14ad,0.0264,3.0,25507.73709510958,52665.54366637422,0.7871365991091015
ASAS14ad,0.0264,3.5,34095.140299986386,71246.811204567,0.8001823737474447
ASAS14ad,0.0264,4.0,45959.67880890556,98978.79855448296,0.8329129822982908
ASAS14ad,0.0264,4.5,54891.34994593666,118358.03118464498,0.8342345519450377
ASAS14ad,0.0264,5.0,62517.64301340677,135372.70520760998,0.8388212785622318
ASAS14ad,0.0264,5.5,71046.3151098714,152804.2369932725,0.8314845972804736
ASAS14ad,0.0264,6.0,79522.79311442254,170759.6100841854,0.8297338222030727
ASAS14ad,0.0264,6.5,87754.24064903347,187822.40210548328,0.8261981949646557
ASAS14ad,0.0264,7.0,95030.05079075972,202910.53947570533,0.8236091103480934
ASAS14ad,0.0264,7.5,102042.1054991211,216900.60866250013,0.8187033990573346
ASAS14ad,0.0264,8.0,108683.25662606402,230709.56930943576,0.8172574128499435
ASAS14ad,0.0264,8.5,115031.72702726594,243206.9553350256,0.8128958770009491
ASAS14ad,0.0264,9.0,120386.2510635897,252969.80430069385,0.806229486093465
ASAS14ad,0.0264,9.5,125038.93939530491,264503.7584586128,0.8134664156348324
ASAS14ad,0.0264,10.0,128869.78885804788,272593.66307607427,0.8134115967605555
ASAS14hp,0.03892,1.0,368.44987834347336,1093.7756907045266,1.1813746235942018
ASAS14hp,0.03892,1.5,835.7213410991701,2280.884798666031,1.090104645685378
ASAS14hp,0.03892,2.0,1558.132658363504,4091.359747506335,1.0481580940754847
ASAS14hp,0.03892,2.5,2637.9742029023632,6283.401209839227,0.9423106177749463
ASAS14hp,0.03892,3.0,3823.677164695008,8614.829450304213,0.8819136665762067
ASAS14hp,0.03892,3.5,4849.252534257018,11352.85056175771,0.9235752995340212
ASAS14hp,0.03892,4.0,6393.83523499685,13818.499572977367,0.8367486221524428
ASAS14hp,0.03892,4.5,7958.124144149857,16989.246326682478,0.8234085087533639
ASAS14hp,0.03892,5.0,9526.299992532213,20552.057727941406,0.834827643460176
ASAS14hp,0.03892,5.5,11764.853923747349,24269.11241312316,0.7861683852455474
ASAS14hp,0.03892,6.0,13877.822810711586,28797.959873968128,0.7926009600983541
ASAS14hp,0.03892,6.5,16704.086871997155,34253.17467424874,0.7796952232727262
ASAS14hp,0.03892,7.0,20026.873974912407,41069.90817129984,0.779776417275386
ASAS14hp,0.03892,7.5,23773.958139967952,49477.75188122067,0.7957711617424197
ASAS14hp,0.03892,8.0,28958.65248678859,59917.35038058015,0.789435627024413
ASAS14hp,0.03892,8.5,37097.13264421847,74073.63024457278,0.7508082160750966
ASAS14hp,0.03892,9.0,48680.58748396973,99161.65874370452,0.7724699304437539
ASAS14hp,0.03892,9.5,59813.292362145614,129575.4343465412,0.8393124123282026
ASAS14hp,0.03892,10.0,68484.61535508382,150851.67481165472,0.857392788388351
ASAS14hr,0.03362,1.0,10288.912123735994,25483.222373333232,0.9847122150650706
ASAS14hr,0.03362,1.5,23198.53273927833,57001.23369716928,0.9760593446361112
ASAS14hr,0.03362,2.0,38142.34256011962,95651.73170868432,0.9982136869095899
ASAS14hr,0.03362,2.5,53827.242597066346,136322.38417387436,1.0089126003550013
ASAS14hr,0.03362,3.0,70695.63996396716,178591.31050196788,1.0061692347514526
ASAS14hr,0.03362,3.5,88838.68132825654,222863.83702017463,0.9985937498590624
ASAS14hr,0.03362,4.0,108553.53308263634,268196.6897227353,0.9820236255158177
ASAS14hr,0.03362,4.5,128034.82656300394,312653.8237694307,0.9693390674369806
ASAS14hr,0.03362,5.0,146812.38003068417,354784.36292684166,0.9580044771927781
ASAS14hr,0.03362,5.5,164947.83677556232,394553.42374122114,0.9468979800189842
ASAS14hr,0.03362,6.0,182680.95132501656,431381.95772672456,0.9329217812401952
ASAS14hr,0.03362,6.5,199483.32460401824,465862.2761919845,0.9208773667912715
ASAS14hr,0.03362,7.0,214369.6713890932,496788.66700515774,0.9125208443030568
ASAS14hr,0.03362,7.5,227133.77054943447,523544.5081529264,0.9066797445385246
ASAS14hr,0.03362,8.0,238878.91910957452,547396.2965276904,0.9003100738636285
ASAS14hr,0.03362,8.5,249309.7638341397,568537.1561173047,0.8950489136838552
ASAS14hr,0.03362,9.0,259095.9690344208,588461.6389647,0.8906437516299381
ASAS14hr,0.03362,9.5,268385.78742045304,606406.0186043261,0.8850099733355933
ASAS14hr,0.03362,10.0,276908.0190508334,622910.9748556106,0.8802261246347007
ASAS14hu,0.015,1.0,2559.250971125047,6005.139842564023,0.9260256214514135
ASAS14hu,0.015,1.5,4974.773792994593,11513.516508686307,0.9110866255175808
ASAS14hu,0.015,2.0,8004.669285956072,21412.81646609466,1.0683260022361358
ASAS14hu,0.015,2.5,12817.808822490144,34051.67422126209,1.060811699914525
ASAS14hu,0.015,3.0,20318.13459038854,50291.36445282211,0.984023964438825
ASAS14hu,0.015,3.5,27208.27586665856,67035.00153857202,0.979001503485022
ASAS14hu,0.015,4.0,34162.15001898944,87191.42650031143,1.0173214687872536
ASAS14hu,0.015,4.5,43587.009833231525,108814.74217931594,0.9933266523360746
ASAS14hu,0.015,5.0,54056.36522764221,135868.3313201361,1.000678503506128
ASAS14hu,0.015,5.5,64681.99992017944,163247.57151350586,1.0051582246971524
ASAS14hu,0.015,6.0,74707.89079865064,190878.8886492062,1.0184785561204024
ASAS14hu,0.015,6.5,86891.11747329608,220669.3683335616,1.0119166732245435
ASAS14hu,0.015,7.0,96692.13500922616,250364.71418671904,1.032954926597545
ASAS14hu,0.015,7.5,108734.15175312173,284068.9291855712,1.0426444083335422
ASAS14hu,0.015,8.0,129285.74616947296,337578.6435728262,1.042060793781986
ASAS14hu,0.015,8.5,155101.2851500239,412459.0596796357,1.061913627503636
ASAS14hu,0.015,9.0,173304.37410117054,465788.0405797473,1.0734470233712652
ASAS14hu,0.015,9.5,190844.5901132127,518735.37299725687,1.085665026066377
ASAS14hu,0.015,10.0,215424.8923636253,584077.3688309668,1.0829362359767685
ASAS14jc,0.011325,1.0,112539.34338246728,283677.450414562,1.0038010952297747
ASAS14jc,0.011325,1.5,202556.24239049933,490514.41723508784,0.9602653621971686
ASAS14jc,0.011325,2.0,289569.576030305,677612.0092615583,0.9230704102424059
ASAS14jc,0.011325,2.5,362055.2372678345,828296.5813685195,0.8985275869980156
ASAS14jc,0.011325,3.0,429800.44094659504,991155.1942768772,0.9071870114368419
ASAS14jc,0.011325,3.5,504548.375517957,1193648.3411786929,0.9349339665301303
ASAS14jc,0.011325,4.0,542254.6531071961,1266707.070809019,0.9211822685137073
ASAS14jc,0.011325,4.5,569895.1796500947,1320626.6135708934,0.9124626535879812
ASAS14jc,0.011325,5.0,584688.0545702113,1349285.394244378,0.9079489953201235
ASAS14jc,0.011325,5.5,594028.5952364011,1365153.8434088302,0.9034356116321804
ASAS14jc,0.011325,6.0,600487.3165833419,1378986.757697791,0.9026406424420499
ASAS14jc,0.011325,6.5,603588.2706291829,1381189.5730871626,0.898781248615915
ASAS14jc,0.011325,7.0,613858.7885021052,1403188.42533102,0.897618789192246
ASAS14jc,0.011325,7.5,637773.3243427725,1457316.507988593,0.8972188352178566
ASAS14jc,0.011325,8.0,640826.6394712983,1464108.4391326092,0.8970817165880445
ASAS14jc,0.011325,8.5,671101.0211373211,1559392.0324333603,0.9154185281769595
ASAS14jc,0.011325,9.0,707220.3869180443,1619372.9500720503,0.8994802726256768
ASAS14jc,0.011325,9.5,807987.5127883268,1926276.283767963,0.9432848218051876
ASAS14jc,0.011325,10.0,811317.9315402656,1939568.678876208,0.9462852188675646
ASAS14jg,0.014827,1.0,10583.940483051496,27660.72320274329,1.0430403543759201
ASAS14jg,0.014827,1.5,23238.85254577372,60361.29379901919,1.0363596492310865
ASAS14jg,0.014827,2.0,43511.71166242385,112416.0510362685,1.0305553934676672
ASAS14jg,0.014827,2.5,68949.67151711168,178997.38241655377,1.0357861964701407
ASAS14jg,0.014827,3.0,98775.6405865005,259504.93664492588,1.04873942276591
ASAS14jg,0.014827,3.5,135064.88099076558,355566.2146353779,1.0509451199985278
ASAS14jg,0.014827,4.0,177006.5266403903,471627.0644591829,1.064023597890166
ASAS14jg,0.014827,4.5,224100.5975254893,602976.9509734361,1.0746442421889655
ASAS14jg,0.014827,5.0,270446.3668021391,738335.9928916531,1.0904322218561864
ASAS14jg,0.014827,5.5,315176.3291666187,864284.1195408648,1.095257350679211
ASAS14jg,0.014827,6.0,356971.43341526645,976702.3674443238,1.0928219431513482
