object,offset_kpc,n_radii,rho_colour_vs_radius,slope_mag_per_kpc,colour_range,step_at_nucleus_entry,offset_bin
ASAS14ad,3.406821292672388,19,0.38070175438596493,0.004745699177939391,0.08263399685800932,0.04242659771371726,"(2.0, 5.0]"
ASAS14hp,12.339900360431226,19,-0.7035087719298245,-0.032544500200740074,0.43056640751910513,,"(10.0, 45.0]"
ASAS14hr,1.233079252835939,19,-0.9385964912280702,-0.015201430589001658,0.12868647572030056,,"(0.0, 2.0]"
ASAS14hu,9.627358067266844,19,0.6964912280701754,0.012273395377302114,0.17457840054879614,,"(5.0, 10.0]"
ASAS14jc,0.7265781854261975,19,-0.3140350877192983,-0.0035860390418205987,0.10671937864173042,,"(0.0, 2.0]"
ASAS14jg,4.587228929903871,19,0.9771929824561404,0.010434045851451487,0.08674528729361786,0.05663841782625445,"(2.0, 5.0]"
ASAS14kq,6.788975829486634,19,0.08771929824561404,-0.003855013223389889,0.1561361981092274,0.015231018934774077,"(5.0, 10.0]"
ASAS14lt,2.834105951167041,19,0.5017543859649122,0.001040142121077281,0.020698249902201482,0.0065868964960764664,"(2.0, 5.0]"
ASAS14me,0.9355174110106624,19,-0.9789473684210527,-0.011829041917566785,0.111384418439333,,"(0.0, 2.0]"
ASAS14mf,1.083880097025785,19,-0.9456140350877192,-0.012701338848743608,0.12291286712096383,,"(0.0, 2.0]"
ASAS14my,2.0720506885826167,19,-0.9929824561403509,-0.012399787975452402,0.11562925978730154,-0.0883759056019493,"(2.0, 5.0]"
ASAS15aj,1.491478032593413,19,-0.9649122807017543,-0.0070011884194501875,0.06673445440096915,,"(0.0, 2.0]"
ASAS15al,5.20230729570593,19,0.43684210526315786,0.04006308228102462,0.9902423597481315,0.20351546897524747,"(5.0, 10.0]"
ASAS15as,1.850035360388266,19,0.06491228070175438,-0.00013798512767537998,0.10765994152094649,,"(0.0, 2.0]"
ASAS15ba,0.4371632849799454,19,-0.4263157894736842,-0.004424210141564065,0.12651757187418977,,"(0.0, 2.0]"
ASAS15be,3.237316592137151,19,0.9543859649122807,0.021038902454871722,0.1918472987706954,0.13360504130678819,"(2.0, 5.0]"
ASAS15cb,0.4562481452803057,19,-0.9982456140350877,-0.010592905594786482,0.11030052683882496,,"(0.0, 2.0]"
ASAS15cd,2.158009229081465,19,0.8157894736842105,0.006453062380510596,0.07924939077615345,0.022386964860801162,"(2.0, 5.0]"
ASAS15da,0.7530314601305846,19,-0.9052631578947368,-0.005893911522046332,0.06408964393703598,,"(0.0, 2.0]"
ASAS15dd,1.1856907022389205,19,-0.9982456140350877,-0.008156332987684393,0.09052541490087762,,"(0.0, 2.0]"
ASAS15eb,0.41583006596619,19,-0.8105263157894737,-0.003399417177324862,0.032137618501975496,,"(0.0, 2.0]"
ASAS15fr,1.7625757160511362,19,-1.0,-0.027721583422754735,0.24907018853594498,,"(0.0, 2.0]"
ASAS15ga,0.4136571115501835,19,-0.8368421052631579,-0.0136853747562872,0.10793114658062075,,"(0.0, 2.0]"
ASAS15go,1.538299480861977,19,-0.5333333333333333,-0.0007264890533854525,0.014941640694018488,,"(0.0, 2.0]"
ASAS15gr,9.365701990707912,19,0.6175438596491227,0.01883509727534176,0.1839099556869891,,"(5.0, 10.0]"
ASAS15hf,0.3709724649889891,19,-0.7649122807017543,-0.006927418670145987,0.06615843627479912,,"(0.0, 2.0]"
ASAS15hg,5.445269976638,19,0.4736842105263158,0.002735629241053141,0.0549826147650756,0.025659506355476314,"(5.0, 10.0]"
