object,z,flux_B,flux_V,mag_B,mag_V,B_minus_V,B_minus_V_err,annulus_tag,epoch,zp_err_B,zp_err_V,n_ref_B,n_ref_V
ASAS14ad,0.0264,62517.64301340677,135372.70520760998,17.45182223707851,17.04091197804045,0.410910259038058,0.42182749407108105,ann20-30,CSP-II,0.4172058541882531,0.0622712613116036,1,6
ASAS14hp,0.03892,9526.299992532213,20552.057727941406,19.61051074167885,19.02696815906986,0.5835425826089917,0.08886046099826338,ann20-30,CSP-II,0.0535165240843546,0.0709377415678888,4,4
ASAS14hr,0.03362,146812.38003068417,354784.36292684166,16.659929047286113,16.049711370274693,0.6102176770114198,0.17393167656794203,ann20-30,CSP-II,0.0709892492223504,0.1587852468228148,3,3
ASAS14hu,0.015,54056.36522764221,135868.3313201361,17.878225115722373,17.082678623930555,0.7955464917918178,0.08313116725768355,ann20-30,CSP-II,0.0354258312297459,0.0752050626707173,12,12
ASAS14jc,0.011325,584688.0545702113,1349285.394244378,15.296415376895089,14.466697484007698,0.8297178928873912,0.2134647868225587,ann20-30,CSP-II,0.0716808704943485,0.201069808818661,5,5
ASAS14jg,0.014827,270446.3668021391,738335.9928916531,15.559736130638143,15.051398048183174,0.5083380824549693,0.19535651911186197,ann20-30,CSP-II,0.0854762939699503,0.1756643752405875,6,6
ASAS14jz,0.012,186813.65842642615,372979.0697977293,16.545718894455597,15.874542359225842,0.6711765352297547,0.15597888782828032,ann20-30,CSP-II,0.0427226448328121,0.1500139629055797,9,9
ASAS14kq,0.0336,57037.65467079553,105745.17727648864,17.736530220381326,17.269074118103735,0.46745610227759116,0.11172951180180415,ann20-30,CSP-II,0.0505421993549225,0.0996442165498669,7,7
ASAS14lt,0.032046,272747.25598548475,788248.9326129797,16.04440809722751,15.172500882550578,0.8719072146769324,0.08220943129624537,ann20-30,CSP-II,0.0583295733130127,0.0579314376757039,5,6
ASAS14me,0.018,112508.32034969912,216105.16441329345,16.927671801150733,16.541420324211103,0.3862514769396306,0.06513573587757386,ann20-30,CSP-II,0.0439882927823078,0.0480384656958466,11,11
