object,z,flux_B,flux_V,mag_B,mag_V,B_minus_V,B_minus_V_err,annulus_tag,epoch,zp_err_B,zp_err_V,n_ref_B,n_ref_V,bkg_frac_B,bkg_frac_V,zp_diff,zp_diff_n_mad,flag_high_bkg,flag_large_err,flag_zp_outlier,flag_low_flux,flag_exclude,ra_deg,dec_deg,ebv_sfd,A_B,A_V,colour_excess_BV,ebv_applied,mag_B_dered,mag_V_dered,B_minus_V_dered,B_minus_V_dered_err,gal_b_deg
ASAS14ad,0.0264,62517.64301340677,135372.70520760998,17.45182223707851,17.04091197804045,0.410910259038058,0.421827494071081,ann20-30,CSP-II,0.4172058541882531,0.0622712613116036,1,6,0.0117720220577971,0.0072261414523976,-0.4279110195241742,-1.620798463881242,False,True,False,False,True,190.04626,18.0591,0.015620338610691207,0.05663934780236631,0.04283096847051529,0.013808379331851021,0.013808379331851021,17.395182889276143,16.998081009569937,0.397101879706207,0.4218332797926049,80.56740096115152
ASAS14hp,0.03892,9526.299992532213,20552.057727941406,19.61051074167885,19.02696815906986,0.5835425826089917,0.0888604609982633,ann20-30,CSP-II,0.0535165240843546,0.0709377415678888,4,4,0.0464856774070104,0.0429219838099911,-0.2512850608511812,0.0561711617432145,False,False,False,False,False,322.63092,-70.64288,0.02974439403972433,0.10785317278804041,0.0815591284569241,0.026294044331116304,0.026294044331116304,19.50265756889081,18.945409030612936,0.5572485382778755,0.08895999535783718,-38.23739635548575
ASAS14hr,0.03362,146812.38003068417,354784.36292684166,16.659929047286113,16.049711370274693,0.6102176770114198,0.173931676567942,ann20-30,CSP-II,0.0709892492223504,0.1587852468228148,3,3,0.0017033268775791,0.0005531793138909,-0.3477868001813604,-0.860061576029233,False,False,False,False,False,27.67179,-14.51799,0.012971295705597286,0.04703391822849576,0.03556729282474776,0.011466625403748001,0.011466625403748001,16.612895129057616,16.014144077449945,0.5987510516076718,0.17394135244756442,-71.30645526943914
ASAS14hu,0.015,54056.36522764221,135868.3313201361,17.878225115722373,17.082678623930555,0.7955464917918178,0.0831311672576835,ann20-30,CSP-II,0.0354258312297459,0.0752050626707173,12,12,0.080305537787971,0.0410932449387243,-0.205132011714312,0.4943698394119745,False,False,False,False,False,100.86218,-69.63741,0.06195200417031356,0.22463796712155695,0.16987239543499977,0.054765571686557185,0.054765571686557185,17.653587148600817,16.912806228495555,0.7407809201052606,0.08359169950649484,-25.994329514752515
ASAS14jc,0.011325,584688.0545702113,1349285.394244378,15.296415376895087,14.466697484007698,0.8297178928873912,0.2134647868225587,ann20-30,CSP-II,0.0716808704943485,0.201069808818661,5,5,0.003387914192808,0.0048776762565264,-0.0782311024327313,1.6992265429689646,False,False,False,False,False,113.89703,-62.77018,0.13522027508431364,0.49030871745572124,0.370773994281188,0.11953472317453323,0.11953472317453323,14.806106659439365,14.095923489726509,0.710183169712858,0.21431985930925157,-19.116319137162296
ASAS14jg,0.014827,270446.3668021391,738335.9928916531,15.559736130638145,15.051398048183174,0.5083380824549693,0.1953565191118619,ann20-30,CSP-II,0.0854762939699503,0.1756643752405875,6,6,0.0047106019931522,0.0029598904819845,-0.5820941394012173,-3.084685260365766,False,False,True,False,False,353.30792,-60.56986,0.013062820426893662,0.04736578686791642,0.03581825361054242,0.011547533257373996,0.011547533257373996,15.512370343770229,15.01557979457263,0.49679054919759524,0.19536525587966277,-54.02107353998559
ASAS14jz,0.012,186813.6584264261,372979.0697977293,16.545718894455597,15.874542359225842,0.6711765352297547,0.1559788878282803,ann20-30,CSP-II,0.0427226448328121,0.1500139629055797,9,9,0.0215641617545262,0.0180994938183464,-0.0795130549118567,1.6870550853579829,False,False,False,False,False,281.18475,-52.80152,0.04691791134112833,0.17012434652293132,0.12864891289737387,0.041475433625557445,0.041475433625557445,16.375594547932664,15.745893446328468,0.6297011016041973,0.1561199886784668,-20.333677023116046
ASAS14kq,0.0336,57037.65467079553,105745.17727648864,17.736530220381326,17.269074118103735,0.4674561022775911,0.1117295118018041,ann20-30,CSP-II,0.0505421993549225,0.0996442165498669,7,7,0.0026847253699759,0.0058378518469482,-0.2027911730845026,0.5165948583739179,False,False,False,False,False,356.31463,-29.78364,0.016091889656449854,0.05834919189428717,0.0441239614379855,0.014225230456301668,0.014225230456301668,17.67818102848704,17.22495015666575,0.4532308718212894,0.11175269191977782,-75.22742519830858
ASAS14lt,0.032046,272747.25598548475,788248.9326129797,16.04440809722751,15.172500882550578,0.8719072146769324,0.0822094312962453,ann20-30,CSP-II,0.0583295733130127,0.0579314376757039,5,6,0.0038153920422445,0.0027302143335613,-0.2803502886575515,-0.2197877321778023,False,False,False,False,False,47.76058,-13.11077,0.04816439654989737,0.17464410188992785,0.1320667753398186,0.04257732655010926,0.04257732655010926,15.869763995337582,15.040434107210759,0.8293298881268232,0.08249120565064882,-54.52037183199874
ASAS14me,0.018,112508.32034969912,216105.16441329345,16.927671801150733,16.541420324211103,0.3862514769396306,0.0651357358775738,ann20-30,CSP-II,0.0439882927823078,0.0480384656958466,11,11,0.003747651447731,0.0063028979897065,-0.3224497844127398,-0.6195000743837706,False,False,False,False,False,21.66757,-57.99719,0.018047322025991165,0.06543958966624397,0.04948575699526778,0.015953832670976192,0.015953832670976192,16.86223221148449,16.491934567215836,0.3702976442686544,0.06518573404205501,-58.5154259893991
