object,stage,reason
LSQ12gef,zero point,"B invalid: zp non-finite, zp_err non-finite, n_ref_stars=0"
SN06br,photometry,du Pont B only at the fiducial radius
SN07ol,photometry,du Pont B only at the fiducial radius
CSP13abm,photometry,du Pont V only at the fiducial radius
SN05gj,photometry,du Pont V only at the fiducial radius
SN08hv,photometry,du Pont V only at the fiducial radius
ASAS14kd,photometry,no du Pont flux at the fiducial radius
ASAS14lo,photometry,no du Pont flux at the fiducial radius
ASAS14lp,photometry,no du Pont flux at the fiducial radius
ASAS14lw,photometry,no du Pont flux at the fiducial radius
ASAS14mw,photometry,no du Pont flux at the fiducial radius
ASAS15bm,photometry,no du Pont flux at the fiducial radius
ASAS15db,photometry,no du Pont flux at the fiducial radius
CSP15aae,photometry,no du Pont flux at the fiducial radius
KISS13j,photometry,no du Pont flux at the fiducial radius
KISS15n,photometry,no du Pont flux at the fiducial radius
LSQ12blp,photometry,no du Pont flux at the fiducial radius
LSQ13abo,photometry,no du Pont flux at the fiducial radius
LSQ13aiz,photometry,no du Pont flux at the fiducial radius
LSQ13dcy,photometry,no du Pont flux at the fiducial radius
LSQ13pf,photometry,no du Pont flux at the fiducial radius
LSQ13ry,photometry,no du Pont flux at the fiducial radius
LSQ13vy,photometry,no du Pont flux at the fiducial radius
LSQ14bbv,photometry,no du Pont flux at the fiducial radius
LSQ14fom,photometry,no du Pont flux at the fiducial radius
PS1-14xw,photometry,no du Pont flux at the fiducial radius
SN05ke,photometry,no du Pont flux at the fiducial radius
SN05ki,photometry,no du Pont flux at the fiducial radius
SN05ku,photometry,no du Pont flux at the fiducial radius
SN05mc,photometry,no du Pont flux at the fiducial radius
SN05na,photometry,no du Pont flux at the fiducial radius
SN06bh,photometry,no du Pont flux at the fiducial radius
SN06bt,photometry,no du Pont flux at the fiducial radius
SN06dd,photometry,no du Pont flux at the fiducial radius
SN06eq,photometry,no du Pont flux at the fiducial radius
SN06ev,photometry,no du Pont flux at the fiducial radius
SN06gj,photometry,no du Pont flux at the fiducial radius
SN06gt,photometry,no du Pont flux at the fiducial radius
SN06hb,photometry,no du Pont flux at the fiducial radius
SN06is,photometry,no du Pont flux at the fiducial radius
SN06ob,photometry,no du Pont flux at the fiducial radius
SN06py,photometry,no du Pont flux at the fiducial radius
SN07af,photometry,no du Pont flux at the fiducial radius
SN07ai,photometry,no du Pont flux at the fiducial radius
SN07ax,photometry,no du Pont flux at the fiducial radius
SN08ha,photometry,no du Pont flux at the fiducial radius
SN09aa,photometry,no du Pont flux at the fiducial radius
SN10ae,photometry,no du Pont flux at the fiducial radius
SN2011im,photometry,no du Pont flux at the fiducial radius
SN2011iy,photometry,no du Pont flux at the fiducial radius
SN2012fr,photometry,no du Pont flux at the fiducial radius
LSQ12gef,photometry,non-positive flux at the fiducial radius
LSQ12gzm,photometry,non-positive flux at the fiducial radius
LSQ13dby,photometry,non-positive flux at the fiducial radius
LSQ14ip,photometry,non-positive flux at the fiducial radius
SN09D,photometry,non-positive flux at the fiducial radius
SN09al,photometry,non-positive flux at the fiducial radius
SN2013hn,photometry,non-positive flux at the fiducial radius
ASAS14lq,zero point,no du Pont zero point available for this object
SN04dt,zero point,no du Pont zero point available for this object
SN04ef,zero point,no du Pont zero point available for this object
SN04eo,zero point,no du Pont zero point available for this object
SN04ey,zero point,no du Pont zero point available for this object
