object,scales_B,scales_V,status
ASAS14ad,0.23,0.23,consistent
ASAS14hp,0.23,0.23,consistent
ASAS14hr,0.23,0.23,consistent
ASAS14hu,0.23,"0.23,0.43",MISMATCH
ASAS14jc,0.23,"0.23,0.43",MISMATCH
ASAS14jg,0.23,0.23,consistent
ASAS14jz,0.23,"0.23,0.43",MISMATCH
ASAS14kd,-,0.43,missing one filter
ASAS14kq,0.23,0.23,consistent
ASAS14lo,-,0.43,missing one filter
ASAS14lp,-,0.43,missing one filter
ASAS14lq,0.159,0.159,consistent
ASAS14lt,0.23,"0.23,0.43",MISMATCH
ASAS14lw,-,0.43,missing one filter
ASAS14me,0.23,"0.23,0.43",MISMATCH
ASAS14mf,0.23,0.23,consistent
ASAS14mw,-,0.159,missing one filter
ASAS14my,0.23,0.23,consistent
ASAS15aj,0.23,"0.23,0.43",MISMATCH
ASAS15al,0.23,"0.23,0.43",MISMATCH
ASAS15as,0.23,"0.23,0.43",MISMATCH
ASAS15ba,0.23,"0.23,0.43",MISMATCH
ASAS15be,0.23,"0.23,0.43",MISMATCH
ASAS15bm,-,0.43,missing one filter
ASAS15cb,0.23,"0.23,0.43",MISMATCH
ASAS15cd,0.23,0.23,consistent
ASAS15da,0.23,"0.23,0.43",MISMATCH
ASAS15db,-,0.43,missing one filter
ASAS15dd,0.23,"0.23,0.43",MISMATCH
ASAS15eb,0.23,"0.23,0.43",MISMATCH
ASAS15fr,0.23,"0.23,0.43",MISMATCH
ASAS15ga,0.23,"0.23,0.43",MISMATCH
ASAS15go,0.23,"0.23,0.43",MISMATCH
ASAS15gr,0.23,"0.23,0.43",MISMATCH
ASAS15hf,0.23,"0.23,0.43",MISMATCH
ASAS15hg,0.23,"0.23,0.43",MISMATCH
ASAS15hx,0.23,"0.23,0.43",MISMATCH
CSP12F,0.23,"0.23,0.43",MISMATCH
CSP12G,0.23,"0.23,0.43",MISMATCH
CSP12J,0.23,0.23,consistent
CSP12K,-,0.159,missing one filter
CSP12M,0.23,"0.23,0.43",MISMATCH
CSP12N,0.23,"0.23,0.43",MISMATCH
CSP13B,0.23,"0.23,0.43",MISMATCH
CSP13C,-,0.43,missing one filter
CSP13G,-,0.43,missing one filter
CSP13M,0.23,0.23,consistent
CSP13N,0.23,0.23,consistent
CSP13P,0.23,"0.23,0.43",MISMATCH
