object,filter,telescope,file,z,x_pix,y_pix,nx,ny,edge_dist_pix,plate_scale_hdr,plate_scale_wcs,aperture_r_pix,annulus_out_pix,aperture_fits,annulus_fits,aperture_snr,centroid_dx_arcsec,centroid_dy_arcsec,status,note,centroid_disagreement_arcsec
ASAS14ad,B,duPont,ASAS14ad_B_comb_dup.fits,0.0264,1171.8275637868403,708.9600577479941,2469,2477,708.9600577479941,0.23,0.23,40.950493446212406,245.70296067727446,True,True,191.66774401184122,-1.8231016547365162,5.592083964901017,OK,,0.49021479878905583
ASAS14ad,V,duPont,ASAS14ad_V_comb_dup.fits,0.0264,1168.8275637868403,707.9600577479941,2468,2471,707.9600577479941,0.23,0.23,40.950493446212406,245.70296067727446,True,True,272.02006692258556,-1.5702775292861886,6.0120726677753575,OK,,0.49021479878905583
ASAS14hp,B,duPont,ASAS14hp_B_comb_dup.fits,0.03892,1128.9601783665885,1075.0475354237335,2441,2432,1075.0475354237335,0.23,0.23,28.19711350121887,169.18268100731322,True,True,11.549044341297261,3.833685386913559,-6.916492527751001,OK,,0.5742865042380921
ASAS14hp,V,duPont,ASAS14hp_V_comb_dup.fits,0.03892,1127.9601783665885,1074.0475354237335,2437,2434,1074.0475354237335,0.23,0.23,28.19711350121887,169.18268100731322,True,True,21.44222284652147,4.249372620014829,-7.312736282511399,OK,,0.5742865042380921
ASAS14hr,B,duPont,ASAS14hr_B_comb_dup.fits,0.03362,1113.545600510376,1027.7686947166512,2430,2433,1027.7686947166512,0.23,0.23,32.436105303451605,194.6166318207096,True,True,293.1506717484414,-0.4396911939562516,1.607986809005497,OK,,0.42829156276485125
ASAS14hr,V,duPont,ASAS14hr_V_comb_dup.fits,0.03362,1112.545600510376,1026.7686947166512,2429,2428,1026.7686947166512,0.23,0.23,32.436105303451605,194.6166318207096,True,True,460.9316456930951,-0.18014071897482484,1.9486731951034364,OK,,0.42829156276485125
ASAS14hu,B,duPont,ASAS14hu_B_comb_dup.fits,0.015,1186.1099311840485,1077.4340606539731,2489,2729,1077.4340606539731,0.23,0.23,71.08735248473448,426.5241149084069,True,True,31.57660712406197,5.220133076411406,-6.028214033304628,CENTROID_DISAGREE,,9.442643476770646
ASAS14hu,V,duPont,ASAS14hu_V_comb_dup.fits,0.015,1181.1099311840485,1082.4340606539731,2483,2735,1082.4340606539731,0.23,0.23,71.08735248473448,426.5241149084069,True,True,73.32453412453063,10.020405967559874,-9.072454588084272,CENTROID_DISAGREE,,9.442643476770646
ASAS14hu,V,Swope,ASAS14hu_V_comb_swo.fits,0.015,1064.8727538891171,1084.464730117255,2271,2247,1064.8727538891171,0.43,0.43,38.023467608128605,228.14080564877165,True,True,70.85556547129075,17.157214289996254,-11.731261109005859,CENTROID_DISAGREE,,9.442643476770646
ASAS14jc,B,duPont,ASAS14jc_B_comb_dup.fits,0.011325,1164.5413972193257,991.4799383801944,2449,2450,991.4799383801944,0.23,0.23,93.73632140581408,562.4179284348844,True,True,592.8076610906136,-2.6043485856003126,0.2088278508591608,OK,,0.4416254604686074
