file,object,filter,telescope,redshift,ned_resolved_name,ned_error
D:\Thesis\pd\CSPAll\ASAS14ad_B_comb_dup.fits,ASAS14ad,B,duPont,0.0264,ASAS14ad,
D:\Thesis\pd\CSPAll\ASAS14ad_V_comb_dup.fits,ASAS14ad,V,duPont,0.0264,ASAS14ad,
D:\Thesis\pd\CSPAll\ASAS14hp_B_comb_dup.fits,ASAS14hp,B,duPont,0.03892,ASAS14hp,
D:\Thesis\pd\CSPAll\ASAS14hp_V_comb_dup.fits,ASAS14hp,V,duPont,0.03892,ASAS14hp,
D:\Thesis\pd\CSPAll\ASAS14hr_B_comb_dup.fits,ASAS14hr,B,duPont,0.03362,ASAS14hr,
D:\Thesis\pd\CSPAll\ASAS14hr_V_comb_dup.fits,ASAS14hr,V,duPont,0.03362,ASAS14hr,
D:\Thesis\pd\CSPAll\ASAS14hu_B_comb_dup.fits,ASAS14hu,B,duPont,0.015,ASAS14hu,
D:\Thesis\pd\CSPAll\ASAS14hu_V_comb_dup.fits,ASAS14hu,V,duPont,0.015,ASAS14hu,
D:\Thesis\pd\CSPAll\ASAS14hu_V_comb_swo.fits,ASAS14hu,V,Swope,0.015,ASAS14hu,
D:\Thesis\pd\CSPAll\ASAS14jc_B_comb_dup.fits,ASAS14jc,B,duPont,0.011325,ASAS14jc,
D:\Thesis\pd\CSPAll\ASAS14jc_V_comb_dup.fits,ASAS14jc,V,duPont,0.011325,ASAS14jc,
D:\Thesis\pd\CSPAll\ASAS14jc_V_comb_swo.fits,ASAS14jc,V,Swope,0.011325,ASAS14jc,
D:\Thesis\pd\CSPAll\ASAS14jg_B_comb_dup.fits,ASAS14jg,B,duPont,0.014827,ASAS14jg,
D:\Thesis\pd\CSPAll\ASAS14jg_V_comb_dup.fits,ASAS14jg,V,duPont,0.014827,ASAS14jg,
D:\Thesis\pd\CSPAll\ASAS14jz_B_comb_dup.fits,ASAS14jz,B,duPont,0.012,ASAS14jz,
D:\Thesis\pd\CSPAll\ASAS14jz_V_comb_dup.fits,ASAS14jz,V,duPont,0.012,ASAS14jz,
D:\Thesis\pd\CSPAll\ASAS14jz_V_comb_swo.fits,ASAS14jz,V,Swope,0.012,ASAS14jz,
D:\Thesis\pd\CSPAll\ASAS14kd_V_comb_swo.fits,ASAS14kd,V,Swope,0.026,ASAS14kd,
D:\Thesis\pd\CSPAll\ASAS14kq_B_comb_dup.fits,ASAS14kq,B,duPont,0.0336,ASAS14kq,
D:\Thesis\pd\CSPAll\ASAS14kq_V_comb_dup.fits,ASAS14kq,V,duPont,0.0336,ASAS14kq,
D:\Thesis\pd\CSPAll\ASAS14lo_V_comb_swo.fits,ASAS14lo,V,Swope,0.01993,ASAS14lo,
D:\Thesis\pd\CSPAll\ASAS14lp_V_comb_swo.fits,ASAS14lp,V,Swope,0.0051,ASAS14lp,
D:\Thesis\pd\CSPAll\ASAS14lq_B_comb_dup.fits,ASAS14lq,B,duPont,0.026191,ASAS14lq,
D:\Thesis\pd\CSPAll\ASAS14lq_V_comb_dup.fits,ASAS14lq,V,duPont,0.026191,ASAS14lq,
D:\Thesis\pd\CSPAll\ASAS14lq_V_comb_swo.fits,ASAS14lq,V,Swope,0.026191,ASAS14lq,
D:\Thesis\pd\CSPAll\ASAS14lt_B_comb_dup.fits,ASAS14lt,B,duPont,0.032046,ASAS14lt,
D:\Thesis\pd\CSPAll\ASAS14lt_V_comb_dup.fits,ASAS14lt,V,duPont,0.032046,ASAS14lt,
D:\Thesis\pd\CSPAll\ASAS14lt_V_comb_swo.fits,ASAS14lt,V,Swope,0.032046,ASAS14lt,
D:\Thesis\pd\CSPAll\ASAS14lw_V_comb_swo.fits,ASAS14lw,V,Swope,0.016,ASAS14lw,
D:\Thesis\pd\CSPAll\ASAS14me_B_comb_dup.fits,ASAS14me,B,duPont,0.018,ASAS14me,
D:\Thesis\pd\CSPAll\ASAS14me_V_comb_dup.fits,ASAS14me,V,duPont,0.018,ASAS14me,
D:\Thesis\pd\CSPAll\ASAS14me_V_comb_swo.fits,ASAS14me,V,Swope,0.018,ASAS14me,
