object,ned_resolved_name,redshift,ra_deg,dec_deg
ASAS14ad,ASAS14ad,0.0264,190.04626,18.0591
ASAS14hp,ASAS14hp,0.03892,322.63092,-70.64288
ASAS14hr,ASAS14hr,0.03362,27.67179,-14.51799
ASAS14hu,ASAS14hu,0.015,100.86218,-69.63741
ASAS14jc,ASAS14jc,0.011325,113.89703,-62.77018
ASAS14jg,ASAS14jg,0.014827,353.30792,-60.56986
ASAS14jz,ASAS14jz,0.012,281.18475,-52.80152
ASAS14kd,ASAS14kd,0.026,343.35396,4.79925
ASAS14kq,ASAS14kq,0.0336,356.31463,-29.78364
ASAS14lo,ASAS14lo,0.01993,177.97163,18.54195
ASAS14lp,ASAS14lp,0.0051,191.28792,-0.45903
ASAS14lq,ASAS14lq,0.026191,344.33088,-20.96688
ASAS14lt,ASAS14lt,0.032046,47.76058,-13.11077
ASAS14lw,ASAS14lw,0.016,16.70488,-46.98332
ASAS14me,ASAS14me,0.018,21.66757,-57.99719
ASAS14mf,ASAS14mf,0.0311,1.22691,-32.4374
ASAS14mw,ASAS14mw,0.027406,25.35483,-65.61702
ASAS14my,ASAS14my,0.020514,174.62483,-8.97664
ASAS15aj,ASAS15aj,0.01092,163.22192,-32.92635
ASAS15al,ASAS15al,0.032,74.45679,-21.59281
ASAS15as,ASAS15as,0.028,144.81896,6.43015
ASAS15ba,ASAS15ba,0.02313,211.22954,8.9207
ASAS15be,ASAS15be,0.0219,43.19329,-34.31459
ASAS15bm,ASAS15bm,0.0206,226.46492,-5.62696
ASAS15cb,ASAS15cb,0.04004,189.95929,3.79711
ASAS15cd,ASAS15cd,0.03435,149.81246,12.98841
ASAS15da,ASAS15da,0.048,80.96617,-24.70233
ASAS15db,ASAS15db,0.011,236.74454,17.88404
ASAS15dd,ASAS15dd,0.02437,235.99613,19.21158
ASAS15eb,ASAS15eb,0.01648,121.53083,-22.56357
ASAS15fr,ASAS15fr,0.03344,140.08517,-7.64077
ASAS15ga,ASAS15ga,0.00663,194.86372,14.17105
ASAS15go,ASAS15go,0.01892,92.87667,-16.48461
ASAS15gr,ASAS15gr,0.024,101.33575,-34.89391
ASAS15hf,ASAS15hf,0.00618,157.37817,-35.25978
ASAS15hg,ASAS15hg,0.02977,148.45258,9.19382
ASAS15hx,ASAS15hx,0.0081,205.81955,-31.55599
CSP12G,CSP12G,0.03697,135.51008,10.30009
CSP12J,CSP12J,0.0147,91.75833,-69.35472
CSP13aam,CSP13aam,0.07495,78.69792,-66.84142
CSP13aao,CSP13aao,0.0614,89.62654,-63.56064
CSP13abm,CSP13abm,0.02818,46.49954,4.54394
CSP14aaq,CSP14aaq,0.03591,93.45017,-67.92081
CSP14acy,CSP14acy,0.0664,10.61979,-64.76417
CSP14ade,CSP14ade,0.06246,84.32767,-75.72139
CSP15aae,CSP15aae,0.016,212.49067,17.54231
KISS13j,KISS13j,0.0766,182.41542,16.20397
KISS13l,KISS13l,0.13201,168.72529,29.585
KISS13v,KISS13v,0.08,208.23596,21.93936
KISS15m,KISS15m,0.0243,181.50348,20.60509
KISS15n,KISS15n,0.023,195.13458,27.97808
LSQ11bk,LSQ11bk,0.037,65.18438,-8.59882
LSQ11ot,LSQ11ot,0.027,78.95142,6.7776
LSQ11pn,LSQ11pn,0.033,79.17312,6.49172
LSQ12agq,LSQ12agq,0.064,154.42354,-7.41511
LSQ12aor,LSQ12aor,0.093,163.82346,-14.30036
LSQ12bld,LSQ12bld,0.083,205.68342,8.09271
LSQ12blp,LSQ12blp,0.074,204.02329,-11.62153
LSQ12btn,LSQ12btn,0.054,140.37708,-9.6916
LSQ12ca,LSQ12ca,0.098,82.76508,-19.7998
LSQ12cda,LSQ12cda,0.13749,207.50971,9.62981
LSQ12cdl,LSQ12cdl,0.111,193.4165,-18.50731
LSQ12fuk,LSQ12fuk,0.02,74.56621,-16.2995
LSQ12fvl,LSQ12fvl,0.056,75.2085,-38.65314
LSQ12fxd,LSQ12fxd,0.031,80.57092,-25.59642
LSQ12gdj,LSQ12gdj,0.03,358.6805,-25.67614
LSQ12gef,LSQ12gef,0.065,25.14042,18.51011
LSQ12gln,LSQ12gln,0.112,80.74754,-33.46426
LSQ12gpw,LSQ12gpw,0.058,48.2425,-11.71111
LSQ12gxj,LSQ12gxj,0.036,43.24167,1.60667
LSQ12gyc,LSQ12gyc,0.093,41.45833,-17.92944
LSQ12gzm,LSQ12gzm,0.1,40.18333,-34.74056
LSQ12hjm,LSQ12hjm,0.07,47.61971,-16.49361
LSQ12hno,LSQ12hno,0.048,55.68025,-2.66939
LSQ12hnr,LSQ12hnr,0.1243,160.81167,-8.77806
LSQ12hvj,LSQ12hvj,0.071,166.91096,-29.71142
LSQ12hxx,LSQ12hxx,0.069,49.93429,-27.00711
LSQ12hzj,LSQ12hzj,0.029,149.80167,-9.00231
LSQ12hzs,LSQ12hzs,0.072,60.47163,-26.66397
LSQ13abo,LSQ13abo,0.067,224.84008,-17.15161
LSQ13aiz,LSQ13aiz,0.009,198.8117,-17.96545
LSQ13cwp,LSQ13cwp,0.0665,60.96108,-2.65506
LSQ13dby,LSQ13dby,0.09993,51.67838,-34.63503
LSQ13dcy,LSQ13dcy,0.083,73.8185,-20.00142
LSQ13dhj,LSQ13dhj,0.0935,33.14379,-37.33967
LSQ13dkp,LSQ13dkp,0.06894,47.54154,-36.62914
LSQ13dpm,LSQ13dpm,0.05086,157.28483,-17.11389
