object,ned_resolved_name,z,ra_deg,dec_deg,ned_type,n_galaxies_nearby,nearest_galaxy,offset_arcsec,offset_kpc,verdict,error
ASAS14ad,ASAS14ad,0.0264,190.04626,18.0591,SN,20,,6.417506598827998,3.406821292672388,SN_POSITION,
ASAS14hp,ASAS14hp,0.03892,322.63092,-70.64288,SN,3,,16.005680268613585,12.339900360431226,SN_POSITION,
ASAS14hr,ASAS14hr,0.03362,27.67179,-14.51799,SN,2,,1.839829270654478,1.2330792528359393,SN_POSITION,
ASAS14hu,ASAS14hu,0.015,100.86218,-69.63741,SN,1,,31.481636235529862,9.627358067266844,SN_POSITION,
ASAS14jc,ASAS14jc,0.011325,113.89703,-62.77018,SN,1,,3.1329112505159635,0.7265781854261975,SN_POSITION,
ASAS14jg,ASAS14jg,0.014827,353.30792,-60.56986,SN,1,,15.172161612093937,4.587228929903871,SN_POSITION,
ASAS14jz,ASAS14jz,0.012,281.18475,-52.80152,SN,0,,,,SN_POSITION,
ASAS14kd,ASAS14kd,0.026,343.35396,4.79925,SN,1,,2.7865878582413597,1.4575861013778142,SN_POSITION,
ASAS14kq,ASAS14kq,0.0336,356.31463,-29.78364,SN,3,,10.135351801544624,6.788975829486634,SN_POSITION,
ASAS14lo,ASAS14lo,0.01993,177.97163,18.54195,SN,9,,14.60909388660033,5.900619748922198,SN_POSITION,
ASAS14lp,ASAS14lp,0.0051,191.28792,-0.45903,SN,7,,12.861302610795443,1.3534561896475248,SN_POSITION,
ASAS14lq,ASAS14lq,0.026191,344.33088,-20.96688,SN,0,,,,SN_POSITION,
ASAS14lt,ASAS14lt,0.032046,47.76058,-13.11077,SN,1,,4.427999999998633,2.8341059511670412,SN_POSITION,
ASAS14lw,ASAS14lw,0.016,16.70488,-46.98332,SN,1,,13.168417132573724,4.290281230075265,SN_POSITION,
ASAS14me,ASAS14me,0.018,21.66757,-57.99719,SN,3,,2.558578955273701,0.9355174110106624,SN_POSITION,
ASAS14mf,ASAS14mf,0.0311,1.22691,-32.4374,SN,1,,1.742984940569576,1.083880097025785,SN_POSITION,
ASAS14mw,ASAS14mw,0.027406,25.35483,-65.61702,SN,13,,6.223443436051096,3.4255479028422724,SN_POSITION,
ASAS14my,ASAS14my,0.020514,174.62483,-8.97664,SN,1,,4.987574409160021,2.0720506885826167,SN_POSITION,
ASAS15aj,ASAS15aj,0.01092,163.22192,-32.92635,SN,1,,6.666292334387723,1.491478032593413,SN_POSITION,
ASAS15al,ASAS15al,0.032,74.45679,-21.59281,SN,2,,8.139307148169264,5.20230729570593,SN_POSITION,
ASAS15as,ASAS15as,0.028,144.81896,6.43015,SN,11,,3.2921411442120103,1.850035360388266,SN_POSITION,
ASAS15ba,ASAS15ba,0.02313,211.22954,8.9207,SN,12,,0.9362212454380704,0.4371632849799454,SN_POSITION,
ASAS15be,ASAS15be,0.0219,43.19329,-34.31459,SN,3,,7.311511121836585,3.237316592137151,SN_POSITION,
ASAS15bm,ASAS15bm,0.0206,226.46492,-5.62696,SN,1,,2.7327348193705694,1.139935384543041,SN_POSITION,
ASAS15cb,ASAS15cb,0.04004,189.95929,3.79711,SN,6,,0.576000000000576,0.4562481452803057,SN_POSITION,
ASAS15cd,ASAS15cd,0.03435,149.81246,12.98841,SN,12,,3.154207753746776,2.158009229081465,SN_POSITION,
ASAS15da,ASAS15da,0.048,80.96617,-24.70233,SN,2,,0.8005676868877926,0.7530314601305846,SN_POSITION,
ASAS15db,ASAS15db,0.011,236.74454,17.88404,SN,14,,2.3836049392131544,0.537148775328874,SN_POSITION,
ASAS15dd,ASAS15dd,0.02437,235.99613,19.21158,SN,11,,2.4136560634944746,1.1856907022389203,SN_POSITION,
ASAS15eb,ASAS15eb,0.01648,121.53083,-22.56357,SN,2,,1.2398781438145212,0.41583006596619,SN_POSITION,
ASAS15fr,ASAS15fr,0.03344,140.08517,-7.64077,SN,1,,2.6434564093712507,1.7625757160511362,SN_POSITION,
ASAS15ga,ASAS15ga,0.00663,194.86372,14.17105,SN,1,,3.029343864781336,0.41365711155018353,SN_POSITION,
ASAS15go,ASAS15go,0.01892,92.87667,-16.48461,SN,1,,4.007029116909799,1.538299480861977,SN_POSITION,
ASAS15gr,ASAS15gr,0.024,101.33575,-34.89391,SN,1,,19.350624246345944,9.365701990707912,SN_POSITION,
ASAS15hf,ASAS15hf,0.00618,157.37817,-35.25978,SN,1,,2.9129730190269543,0.3709724649889891,SN_POSITION,
ASAS15hg,ASAS15hg,0.02977,148.45258,9.19382,SN,11,,9.13314422204155,5.4452699766379995,SN_POSITION,
ASAS15hx,ASAS15hx,0.0081,205.81955,-31.55599,SN,0,,,,SN_POSITION,
CSP12G,CSP12G,0.03697,135.51008,10.30009,SN,8,,3.4200887441002252,2.510513572961164,SN_POSITION,
CSP12J,CSP12J,0.0147,91.75833,-69.35472,SN,1,,1.7491467971722126,0.524396932751884,SN_POSITION,
CSP13aam,CSP13aam,0.07495,78.69792,-66.84142,SN,2,,6.281001820439324,8.937441407672392,SN_POSITION,
CSP13aao,CSP13aao,0.0614,89.62654,-63.56064,SN,1,,0.04808704254560549,0.056950584274835944,SN_POSITION,
CSP13abm,CSP13abm,0.02818,46.49954,4.54394,SN,1,,7.55745219831129,4.273325809241551,SN_POSITION,
CSP14aaq,CSP14aaq,0.03591,93.45017,-67.92081,SN,1,,0.521850073162465,0.37255213243026486,SN_POSITION,
CSP14acy,CSP14acy,0.0664,10.61979,-64.76417,SN,2,,3.395504135881507,4.3233963634400885,SN_POSITION,
CSP14ade,CSP14ade,0.06246,84.32767,-75.72139,SN,1,,1.675351176330479,2.015897757293228,SN_POSITION,
CSP15aae,CSP15aae,0.016,212.49067,17.54231,SN,7,,12.975633446141378,4.227472145047158,SN_POSITION,
KISS13j,KISS13j,0.0766,182.41542,16.20397,SN,10,,2.3025881398723036,3.342126112385029,SN_POSITION,
KISS13l,KISS13l,0.13201,168.72529,29.585,SN,8,,2.73617910374706,6.423653047138713,SN_POSITION,
KISS13v,KISS13v,0.08,208.23596,21.93936,SN,11,,0.8569257645589583,1.293878291800686,SN_POSITION,
KISS15m,KISS15m,0.0243,181.50348,20.60509,SN,13,,15.01976155381027,7.3577738929403695,SN_POSITION,
KISS15n,KISS15n,0.023,195.13458,27.97808,SN,804,,0.31995750365686926,0.1485859581067568,SN_POSITION,
LSQ11bk,LSQ11bk,0.037,65.18438,-8.59882,SN,1,,1.0631536940532618,0.7810124551041021,SN_POSITION,
LSQ11ot,LSQ11ot,0.027,78.95142,6.7776,SN,1,,11.151938919655857,6.05034043443309,SN_POSITION,
LSQ11pn,LSQ11pn,0.033,79.17312,6.49172,SN,2,,7.460579526057621,4.911619536571509,SN_POSITION,
LSQ12agq,LSQ12agq,0.064,154.42354,-7.41511,SN,0,,,,SN_POSITION,
LSQ12aor,LSQ12aor,0.093,163.82346,-14.30036,SN,1,,5.147163053757122,8.899745299364538,SN_POSITION,
LSQ12bld,LSQ12bld,0.083,205.68342,8.09271,SN,9,,7.290654272578079,11.381313466439863,SN_POSITION,
LSQ12blp,LSQ12blp,0.074,204.02329,-11.62153,SN,1,,13.347679843464391,18.77289360146631,SN_POSITION,
LSQ12btn,LSQ12btn,0.054,140.37708,-9.6916,SN,1,,10.47371370099603,11.004843049391651,SN_POSITION,
LSQ12ca,LSQ12ca,0.098,82.76508,-19.7998,SN,1,,6.379287883385172,11.556493801162729,SN_POSITION,
LSQ12cda,LSQ12cda,0.13749,207.50971,9.62981,SN,13,,7.381805468582951,17.938651482350476,SN_POSITION,
LSQ12cdl,LSQ12cdl,0.111,193.4165,-18.50731,SN,0,,,,SN_POSITION,
